,07/23/21 00:01:00,07/23/21 00:16:00,07/23/21 00:31:00,07/23/21 00:46:00,07/23/21 01:01:00,07/23/21 01:16:00,07/23/21 01:31:00,07/23/21 01:46:00,07/23/21 02:01:00,07/23/21 02:16:00,07/23/21 02:31:00,07/23/21 02:46:00,07/23/21 03:01:00,07/23/21 03:16:00,07/23/21 03:31:00,07/23/21 03:46:00,07/23/21 04:01:00,07/23/21 04:16:00,07/23/21 04:31:00,07/23/21 04:46:00,07/23/21 05:01:00,07/23/21 05:16:00,07/23/21 05:31:00,07/23/21 05:46:00,07/23/21 06:01:00,07/23/21 06:16:00,07/23/21 06:31:00,07/23/21 06:46:00,07/23/21 07:01:00,07/23/21 07:16:00,07/23/21 07:31:00,07/23/21 07:46:00,07/23/21 08:01:00,07/23/21 08:16:00,07/23/21 08:31:00,07/23/21 08:46:00,07/23/21 09:01:00,07/23/21 09:16:00,07/23/21 09:31:00,07/23/21 09:46:00,07/23/21 10:01:00,07/23/21 10:16:00,07/23/21 10:31:00,07/23/21 10:46:00,07/23/21 11:01:00,07/23/21 11:16:00,07/23/21 11:31:00,07/23/21 11:46:00,07/23/21 12:01:00,07/23/21 12:16:00,07/23/21 12:31:00,07/23/21 12:46:00,07/23/21 13:01:00,07/23/21 13:16:00,07/23/21 13:31:00,07/23/21 13:46:00,07/23/21 14:01:00,07/23/21 14:16:00,07/23/21 14:31:00,07/23/21 14:46:00,07/23/21 15:01:00,07/23/21 15:16:00,07/23/21 15:31:00,07/23/21 15:46:00,07/23/21 16:01:00,07/23/21 16:16:00,07/23/21 16:31:00,07/23/21 16:46:00,07/23/21 17:01:00,07/23/21 17:16:00,07/23/21 17:31:00,07/23/21 17:46:00,07/23/21 18:01:00,07/23/21 18:16:00,07/23/21 18:31:00,07/23/21 18:46:00,07/23/21 19:01:00,07/23/21 19:16:00,07/23/21 19:31:00,07/23/21 19:46:00,07/23/21 20:01:00,07/23/21 20:16:00,07/23/21 20:31:00,07/23/21 20:46:00,07/23/21 21:01:00,07/23/21 21:16:00,07/23/21 21:31:00,07/23/21 21:46:00,07/23/21 22:01:00,07/23/21 22:16:00,07/23/21 22:31:00,07/23/21 22:46:00,07/23/21 23:01:00,07/23/21 23:16:00,07/23/21 23:31:00,07/23/21 23:46:00
max_amp,0.0009751325565222397,0.0009630380183529842,0.0009737741869866997,0.000989603233816309,0.0009728936180647532,0.0009833249572669446,0.000962623822958811,0.0009732381837560291,0.0009741062245678043,0.0009747058884806515,0.0009702324223797022,0.000984213707251547,0.0009821285096700846,0.0009824573040404982,0.0009894119171380397,0.000988980958013778,0.000993355317072507,0.0009767522814520826,0.000998732497288929,0.0010004519846658828,0.0010120962813685156,0.0010083313082981636,0.0009950632901731924,0.0009853929177215625,0.0009940640504790094,0.00101449954925074,0.0009970487990306185,0.000998268579538058,0.0009768398418865329,0.0009867379649064097,0.0009928181080713079,0.000987090283069822,0.0010089438090892383,0.000996073528425422,0.0009922059720240473,0.0010010329393347517,0.0009978812106457384,0.0009795522897916157,0.0009826112868875918,0.0009837883326129003,0.0009682647230160474,0.0009560384108627368,0.0009317139919311078,0.0009423751372768103,0.0009205435026444016,0.0009040854659071847,0.0008837420988129349,0.0008653457755902326,0.0008601503716259482,0.0008622799872621535,0.0009045852900012847,0.0011149136187037542,0.001382939292185173,0.0017614472535764252,0.0019293502518435855,0.0017086468207954248,0.0018257270163011172,0.002206387548459345,0.012799889031864351,0.03603687266142021,0.05924193131054225,0.0750840039029796,0.07335916141156983,0.07396587202282548,0.07372172910540284,0.07445441129665227,0.07404160267702804,0.07335570588658726,0.07410471571514991,0.07348508339440918,0.07430062821310758,0.07491059881254719,0.07570697404973391,0.07521526348544334,0.07512557167564314,0.07533792081782813,0.07412305145241256,0.07747547048431469,0.07258480758718733,0.06829602641404928,0.06340003395441762,0.05854815710445793,0.05505553814880181,0.05254682744086219,0.049568390602946336,0.04676246940096903,0.0450746173555859,0.04273734452464271,0.04120530212873149,0.03973878802086406,0.0390823967502033,0.03671907222170427,0.036342641577993016,0.03487322905713531,0.03340613466442967,0.03222389877069717
mean_amp,0.0009424794091650684,0.0009396631253100587,0.0009425001839267514,0.0009495530439021659,0.0009389915206195539,0.0009477675312214366,0.0009388599139006343,0.0009490056820585339,0.0009477943944733631,0.0009449972012225999,0.0009438018569819645,0.0009560968411047911,0.000953546859719401,0.0009543780253303457,0.000958816718287455,0.0009532688123026111,0.0009587849306345579,0.0009573414526647027,0.0009727968102601777,0.0009821901636053512,0.0009863301902679846,0.0009802567256683098,0.0009725455065512028,0.0009629197118495925,0.0009601215363117421,0.0009690314569104962,0.0009671006018898185,0.0009656219109646,0.0009484891424286327,0.000960458899051164,0.0009701060593013063,0.0009642746438274977,0.0009780318571621159,0.0009661434423556422,0.0009610036391696308,0.0009673351629885488,0.0009618069653911516,0.0009524563323356493,0.0009529336628578476,0.0009454836418583853,0.0009401321954789071,0.0009245903470131388,0.0009021504049625182,0.0009086108711614326,0.0008965331588263991,0.0008819644465129886,0.0008610808812497135,0.0008412552089549551,0.0008354204649524782,0.000810840049984379,0.00087838678032102,0.00107316321328327,0.001331138922166739,0.0017080783293377574,0.0018583580479666446,0.0016491445160132987,0.0017496368096567149,0.002143013859063065,0.012518548776713722,0.034836609396456004,0.05723212782113931,0.07218084123561402,0.07124743685120345,0.07197676563207964,0.07129488190276857,0.07198329188433407,0.07169369224533399,0.07103893057042826,0.0719055330383529,0.07134909225108034,0.07204047754038752,0.07253495339620948,0.07318750989915075,0.0725417171172021,0.07286665002070834,0.0731187036600792,0.07253423815428789,0.0756435280047944,0.07078287657482106,0.0663125957946029,0.06132650240550111,0.057172622780258676,0.05379685015256788,0.05114777710396374,0.04847720398432154,0.04555387272696375,0.04382949026809015,0.041364729413052144,0.03979992890173688,0.038490755549821745,0.03748095825722949,0.035854150072657395,0.03481110705590742,0.03329572777651763,0.0324437508617376,0.03128580730866533
median_amp,0.0009426473480124266,0.0009398142361490625,0.0009422590414485581,0.0009498055206155136,0.0009374105923265742,0.0009472241887270524,0.000938599862710368,0.0009488024033250996,0.0009489589761958622,0.0009450701158848346,0.0009443741164129676,0.0009576456900767276,0.0009539440504193369,0.0009558031732752382,0.0009592819501884168,0.0009527378724909807,0.0009576592843074732,0.0009571310994238178,0.0009706403186562894,0.0009840951344408017,0.0009893495366456004,0.0009807279577789315,0.0009726746900055926,0.0009624006036152218,0.000960949354156478,0.000967985303352576,0.0009662948064695013,0.0009655212570817699,0.0009490905084630426,0.0009608002546038369,0.0009682140223739456,0.0009642452241997201,0.0009795614354437892,0.0009642714359263437,0.0009608373449036432,0.0009675083608251014,0.0009620859277147786,0.000951858113542272,0.0009541398295403151,0.0009455106225838073,0.000939750771064196,0.0009228097603389681,0.0009027177352360086,0.0009065365267851396,0.000896350647718852,0.0008813661553214304,0.0008615691309237048,0.0008420904941134111,0.0008343168536144702,0.0008106165804957616,0.0008758957165291496,0.001072798484529458,0.0013279926706586298,0.0017121929446081996,0.001857044999461183,0.0016487531348496215,0.0017498125439313246,0.0021464830220173144,0.012519592129817632,0.0347871954776614,0.057283587151630136,0.07203898130272804,0.07121935329948911,0.07204809627148917,0.07124728973445027,0.07190479025523071,0.07161677997081042,0.07097803132532388,0.07184281220742708,0.07132463046483534,0.07201147795737264,0.07257474595475849,0.07308312655918027,0.07245355959842686,0.07291053229710873,0.07314164034618552,0.0725736706008394,0.0755794605355971,0.07076862432638421,0.06640593471975553,0.06122934537392606,0.057196897042883596,0.05383729453884425,0.051087579346174423,0.0484697975441298,0.04556732824039565,0.043777382149872535,0.041354407520676734,0.03982416556523319,0.03847039435757831,0.03745283369228496,0.03587477369608615,0.034816202572547555,0.03329203658303285,0.032431141831294585,0.0313241090538772
impulses_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,4563,4334,4647,4357,4758,4423,4256,4386,4413,4571,4924,4891,4677,4734,5087,4846,6070,4312,2702,1394,664,317,140,44,10,6,4,0,0,0,0,0,0,0,0
impulses_ch3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,16252,13343,10972,11449,11851,11604,11835,11309,11387,10959,11605,11153,11875,11064,10996,11065,11827,11601,11364,12269,12461,13095,14038,14416,14787,14985,15464,15911,16340,16792,16237,16341,17477,16577,16107,15955,15874
impulses_ch2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14300,6312,3941,3005,3117,3165,3166,3231,3106,3009,3005,3061,3041,3191,2987,2942,3067,3219,3189,3051,3296,3434,3714,4011,4271,4428,4628,4835,5108,5389,5615,5574,5838,6428,6401,6351,6413,6715
impulses_ch1,1156,1150,1147,1181,1132,1264,1122,1238,1150,1140,1109,1299,1310,1227,1202,1207,1303,1388,1416,1584,1718,1520,1470,1363,1304,1390,1370,1380,1163,1206,1434,1305,1530,1312,1306,1420,1464,1280,1236,1185,1102,957,756,845,708,599,461,324,316,234,689,3382,8793,14261,14780,13713,14169,15678,4319,1571,953,744,761,717,766,770,714,714,684,710,711,758,678,648,710,779,783,688,748,826,888,918,1040,1100,1143,1241,1280,1339,1395,1418,1509,1612,1622,1654,1673,1690
max_env_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
