,8/13/2023 0:00,8/13/2023 0:15,8/13/2023 0:30,8/13/2023 0:45,8/13/2023 1:00,8/13/2023 1:15,8/13/2023 1:30,8/13/2023 1:45,8/13/2023 2:00,8/13/2023 2:15,8/13/2023 2:30,8/13/2023 2:45,8/13/2023 3:00,8/13/2023 3:15,8/13/2023 3:30,8/13/2023 3:45,8/13/2023 4:00,8/13/2023 4:15,8/13/2023 4:30,8/13/2023 4:45,8/13/2023 5:00,8/13/2023 5:15,8/13/2023 5:30,8/13/2023 5:45,8/13/2023 6:00,8/13/2023 6:15,8/13/2023 6:30,8/13/2023 6:45,8/13/2023 7:00,8/13/2023 7:15,8/13/2023 7:30,8/13/2023 7:45,8/13/2023 8:00,8/13/2023 8:15,8/13/2023 8:30,8/13/2023 8:45,8/13/2023 9:00,8/13/2023 9:15,8/13/2023 9:30,8/13/2023 9:45,8/13/2023 10:00,8/13/2023 10:15,8/13/2023 10:30,8/13/2023 10:45,8/13/2023 11:00,8/13/2023 11:15,8/13/2023 11:30,8/13/2023 11:45,8/13/2023 12:00,8/13/2023 12:15,8/13/2023 12:30,8/13/2023 12:45,8/13/2023 13:00,8/13/2023 13:15,8/13/2023 13:30,8/13/2023 13:45,8/13/2023 14:00,8/13/2023 14:15,8/13/2023 14:30,8/13/2023 14:45,8/13/2023 15:00,8/13/2023 15:15,8/13/2023 15:30,8/13/2023 15:45,8/13/2023 16:00,8/13/2023 16:15,8/13/2023 16:30,8/13/2023 16:45,8/13/2023 17:00,8/13/2023 17:15,8/13/2023 17:30,8/13/2023 17:45,8/13/2023 18:00,8/13/2023 18:15,8/13/2023 18:30,8/13/2023 18:45,8/13/2023 19:00,8/13/2023 19:15,8/13/2023 19:30,8/13/2023 19:45,8/13/2023 20:00,8/13/2023 20:15,8/13/2023 20:30,8/13/2023 20:45,8/13/2023 21:00,8/13/2023 21:15,8/13/2023 21:30,8/13/2023 21:45,8/13/2023 22:00,8/13/2023 22:15,8/13/2023 22:30,8/13/2023 22:45,8/13/2023 23:00,8/13/2023 23:15,8/13/2023 23:30,8/13/2023 23:45,8/14/2023 0:00
max_amp,0.000536104,0.000923562,0.00072241,0.001193951,0.001095427,0.000723964,0.000780916,0.000693118,0.000799911,0.000620581,0.000850317,0.000908791,0.001319979,0.00080187,0.000669571,0.001001898,0.000831373,0.000645735,0.000723119,0.000816776,0.000655054,0.001034203,0.000565453,0.000884179,0.001024909,0.00078612,0.001134606,0.001081577,0.000726237,0.00121497,0.000679115,0.000397992,0.000583645,0.000628967,0.000700654,0.00087318,0.000969583,0.00064802,0.000679211,0.000748163,0.001064993,0.000911715,0.000715715,0.001001179,0.000752701,0.000820983,0.000459532,0.00078383,0.000549012,0.000596292,0.000769426,0.000840569,0.00093461,0.000785927,0.000466601,0.000562024,0.000665919,0.000560838,0.000902576,0.000649904,0.000853129,0.000926272,0.000576013,0.000744821,0.000652677,0.00122744,0.000362581,0.000764856,0.000552488,0.000719715,0.000821537,0.00076796,0.000680801,0.000795121,0.005170417,0.004158192,0.002351462,0.001915593,0.001259246,0.002359763,0.002220761,0.002856337,0.005017922,0.004719446,0.002874692,0.00225225,0.001695373,0.002690205,0.001717381,0.001172551,0.001872957,0.001330044,0.00157772,0.0009143,0.001199788,0.00102245,0.000643909
mean_amp,0.000269534,0.000625108,0.00032158,0.00057847,0.000576078,0.000459547,0.000484407,0.000416427,0.0005087,0.000357588,0.000519957,0.000460302,0.000722903,0.000468276,0.000482556,0.000505006,0.000471379,0.000378048,0.000419641,0.000429276,0.000415388,0.000573254,0.000337451,0.000485195,0.000518227,0.000519616,0.00058704,0.000479314,0.000427303,0.000445085,0.000421955,0.000253721,0.000331493,0.000321887,0.000418581,0.000450475,0.000644174,0.000356874,0.000416194,0.00041661,0.000548401,0.000441494,0.000406144,0.000506215,0.000415876,0.000439884,0.000268297,0.000500394,0.000361279,0.00035045,0.000463949,0.000461818,0.000484635,0.000451962,0.000265232,0.000277929,0.000361084,0.000287551,0.000453928,0.000328237,0.000445333,0.000543429,0.000343584,0.000425515,0.000405738,0.000767072,0.000212199,0.000404728,0.000339967,0.000313457,0.000382634,0.00054095,0.000415665,0.00046457,0.003720085,0.003131685,0.001644905,0.001299067,0.000940839,0.00165559,0.001518534,0.00184593,0.002915342,0.00258891,0.001863895,0.001446718,0.001234686,0.001706451,0.001018756,0.000806367,0.001088766,0.000762909,0.000752714,0.000616752,0.00067957,0.00063117,0.000473633
median_amp,0.000253409,0.000594983,0.000294359,0.000563792,0.000545319,0.000451201,0.000465505,0.000397457,0.000509837,0.000346953,0.000510037,0.000449839,0.000674284,0.000454829,0.000492241,0.00049201,0.000435218,0.000350059,0.000389006,0.000407781,0.000397151,0.000540021,0.000330382,0.000465125,0.000494905,0.000513806,0.000553228,0.000447154,0.000408453,0.000420565,0.000407794,0.000242456,0.000322471,0.000315115,0.000405877,0.000420421,0.000632868,0.000336206,0.000411302,0.000390074,0.00051671,0.000411154,0.000403299,0.00047853,0.000399238,0.000440554,0.000262787,0.000478302,0.000347448,0.000332487,0.000472503,0.000426305,0.000467473,0.000429783,0.000261509,0.000258632,0.000345334,0.000275714,0.000446744,0.000300406,0.000411144,0.000521891,0.000331427,0.000407636,0.000398469,0.000736794,0.000205113,0.000376575,0.000330393,0.000295662,0.000358013,0.000542817,0.000420549,0.00043597,0.003724348,0.003015686,0.001616266,0.00127151,0.000936363,0.001617271,0.001502742,0.001795164,0.002772748,0.002451694,0.001795434,0.001370398,0.001242922,0.00165978,0.000976425,0.000787053,0.001058391,0.000741591,0.000719843,0.000610485,0.000660055,0.000610382,0.000454906
impulses_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch3,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,30,2,0,0,1,9,3,36,19,5,3,0,8,30,0,2,0,1,0,0,0,0
impulses_ch2,4,57,11,61,59,19,42,22,44,18,28,24,71,20,31,28,37,13,17,19,17,64,9,28,43,42,47,30,27,21,13,5,5,12,15,21,47,16,16,14,41,26,15,35,27,30,3,37,11,6,32,35,40,31,2,8,14,8,27,13,44,46,12,24,21,114,3,20,18,9,21,43,23,30,2982,2116,354,158,67,412,276,582,1711,1212,520,258,159,438,298,31,124,45,61,37,21,42,9
impulses_ch1,192,1344,341,1056,1099,745,772,536,889,403,940,783,1763,734,835,900,719,464,553,599,580,1089,352,764,872,904,1221,745,562,675,572,181,350,322,683,721,1423,396,566,591,1032,628,535,860,617,637,189,949,461,454,686,755,823,758,210,267,464,280,720,361,666,1031,419,685,551,2116,141,548,432,348,541,1183,598,756,20316,20093,10533,7421,3972,12125,9458,12701,19213,18952,13111,9918,7024,12703,3223,2776,5605,2434,2228,1299,1735,1457,777
max_env_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
