,08/03/22 00:01:00,08/03/22 00:16:00,08/03/22 00:31:00,08/03/22 00:46:00,08/03/22 01:01:00,08/03/22 01:16:00,08/03/22 01:31:00,08/03/22 01:46:00,08/03/22 02:01:00,08/03/22 02:16:00,08/03/22 02:31:00,08/03/22 02:46:00,08/03/22 03:01:00,08/03/22 03:16:00,08/03/22 03:31:00,08/03/22 03:46:00,08/03/22 04:01:00,08/03/22 04:16:00,08/03/22 04:31:00,08/03/22 04:46:00,08/03/22 05:01:00,08/03/22 05:16:00,08/03/22 05:31:00,08/03/22 05:46:00,08/03/22 06:01:00,08/03/22 06:16:00,08/03/22 06:31:00,08/03/22 06:46:00,08/03/22 07:01:00,08/03/22 07:16:00,08/03/22 07:31:00,08/03/22 07:46:00,08/03/22 08:01:00,08/03/22 08:16:00,08/03/22 08:31:00,08/03/22 08:46:00,08/03/22 09:01:00,08/03/22 09:16:00,08/03/22 09:31:00,08/03/22 09:46:00,08/03/22 10:01:00,08/03/22 10:16:00,08/03/22 10:31:00,08/03/22 10:46:00,08/03/22 11:01:00,08/03/22 11:16:00,08/03/22 11:31:00,08/03/22 11:46:00,08/03/22 12:01:00,08/03/22 12:16:00,08/03/22 12:31:00,08/03/22 12:46:00,08/03/22 13:01:00,08/03/22 13:16:00,08/03/22 13:31:00,08/03/22 13:46:00,08/03/22 14:01:00,08/03/22 14:16:00,08/03/22 14:31:00,08/03/22 14:46:00,08/03/22 15:01:00,08/03/22 15:16:00,08/03/22 15:31:00,08/03/22 15:46:00,08/03/22 16:01:00,08/03/22 16:16:00,08/03/22 16:31:00,08/03/22 16:46:00,08/03/22 17:01:00,08/03/22 17:16:00,08/03/22 17:31:00,08/03/22 17:46:00,08/03/22 18:01:00,08/03/22 18:16:00,08/03/22 18:31:00,08/03/22 18:46:00,08/03/22 19:01:00,08/03/22 19:16:00,08/03/22 19:31:00,08/03/22 19:46:00,08/03/22 20:01:00,08/03/22 20:16:00,08/03/22 20:31:00,08/03/22 20:46:00,08/03/22 21:01:00,08/03/22 22:01:00,08/03/22 22:46:00,08/03/22 23:01:00,08/03/22 23:16:00,08/03/22 23:31:00,08/03/22 23:46:00,08/04/22 00:01:00
max_amp,9.417083245732504e-10,1.1922542055350114e-09,1.1371847247498418e-09,1.0151142238303132e-09,6.439867851023429e-10,6.271509381798317e-10,9.999019630576728e-10,1.0232691163151252e-09,9.597172273703477e-10,7.987715746049363e-10,9.770020224114213e-10,9.474672701119644e-10,9.917927425182734e-10,9.041202937240327e-10,6.177076327017255e-10,6.620153618437303e-10,8.032378722192994e-10,8.916395042194916e-10,7.805971355555103e-10,8.140589075724939e-10,7.708342854600879e-10,9.939457946183797e-10,1.2167593713498867e-09,9.976165960929357e-10,8.624097897873965e-10,6.206752855295038e-10,5.459480603802243e-10,5.209044758715722e-10,5.830630161411836e-10,6.894852256147113e-10,4.523330814459038e-10,5.138883643290706e-10,8.715087524292208e-10,8.596170461677396e-10,6.894273259790655e-10,6.27020837362313e-10,8.529385797928883e-10,8.152873505423051e-10,5.002210860604406e-10,4.684456491209536e-10,9.406772051839347e-10,6.568243052754762e-10,6.389278622328008e-10,7.170864245730308e-10,4.586770298318183e-10,5.386817792594975e-10,6.177963423648837e-10,7.349952057483012e-10,9.490968837540235e-10,8.823200760089402e-10,8.312150217775058e-10,7.527089898941635e-10,8.219158382334622e-10,5.067838059617785e-10,3.269954602320379e-10,4.720049800136718e-10,5.498949522654277e-10,6.693017063328934e-10,1.0489946937872881e-09,2.391105235328889e-08,0.0008425658157626609,0.003019489083977965,0.0013419280710164016,0.00043902523980033096,0.0006593985206020475,0.001381318559779453,0.0009820416694152844,0.0006823078375681537,0.0004882560810894448,0.0004007765352338547,0.0002840622944698091,0.0001155790190541277,4.806669055333371e-05,3.919422441845727e-05,2.220491232575036e-05,5.7209591914661305e-06,4.623563546322793e-06,2.0442095213971657e-06,8.460875440704988e-07,7.954885869486198e-07,9.299538584256865e-07,7.135361126229095e-07,4.4749196250294097e-07,2.975984885577867e-07,2.9165640773674264e-07,2.382784984677083e-07,2.7142588960352014e-07,2.884531730850806e-07,1.7803150855957205e-07,1.3568315097894014e-07,1.868968429993869e-07,1.51206222196593e-07
mean_amp,6.781798364029362e-10,7.993548881181439e-10,8.047336194070349e-10,7.225281421949338e-10,4.4567946577085587e-10,4.611114641239074e-10,6.955600614498356e-10,6.79406693779254e-10,6.476700551713057e-10,5.418466361727696e-10,6.283508676518512e-10,7.443616229107801e-10,6.451845504775342e-10,6.585941157946946e-10,4.078367223489701e-10,4.669623736326923e-10,5.926473238680181e-10,5.88764697474623e-10,5.888566030440779e-10,5.173829291602807e-10,5.152912046356465e-10,6.681491509384219e-10,8.840610091332199e-10,6.660472028851109e-10,5.861197071685931e-10,4.3424020476832385e-10,3.8182657244080323e-10,3.729221305329862e-10,4.0947433337382124e-10,4.25374443649032e-10,3.361764660409336e-10,3.62028631760496e-10,5.516012339984007e-10,6.040413431181646e-10,4.5900594760520356e-10,4.646079407904221e-10,6.649690046199312e-10,5.630433525523088e-10,3.3192733722912186e-10,3.3981300122528254e-10,5.974989191689723e-10,4.911745468551162e-10,4.3201938664701004e-10,4.914255261345807e-10,3.365861009200684e-10,3.2487796769969367e-10,4.330236393194188e-10,4.993563950159432e-10,5.4693488119705e-10,6.222983796569396e-10,5.723374554652185e-10,4.695142290555311e-10,4.783559381934664e-10,3.706234473267423e-10,2.464079721193692e-10,2.587979702350746e-10,3.257419512328358e-10,3.8762803265923315e-10,4.89366799657478e-10,1.3858046649701343e-08,0.0005581026717512528,0.0023072590196885974,0.0010029510601256128,0.00030019692886353933,0.000518612078003301,0.0010531266020267739,0.0007169837663797512,0.0005134150115330859,0.0003635137055048408,0.00030147754661757464,0.0002104578515103886,8.538228928633651e-05,3.5339869466431146e-05,2.762721510946288e-05,1.3754545925782891e-05,3.9840848125274365e-06,2.68423800663746e-06,1.4058412218177462e-06,5.644778045414129e-07,5.452266637877178e-07,6.099780266611992e-07,4.602909033721038e-07,3.012301705639092e-07,2.3196495809394033e-07,2.2301442251470869e-07,1.7263776635331532e-07,1.9534509780769707e-07,2.1541480276719003e-07,1.3371545659360245e-07,1.0094948792846348e-07,1.2465689326174788e-07,1.1480211508073856e-07
median_amp,6.67059632358667e-10,7.828781523624544e-10,7.81433872356384e-10,7.087557695433195e-10,4.274736909261758e-10,4.450939092031327e-10,6.639299001364554e-10,6.59781282157442e-10,6.225065497179763e-10,5.328674262108384e-10,6.053586995878726e-10,7.370741585379996e-10,6.321254869050796e-10,6.342440730328379e-10,4.038471727095783e-10,4.520996693326875e-10,5.821274397069298e-10,5.739760638261944e-10,5.851517282681186e-10,5.113879046014659e-10,4.960401372189256e-10,6.692246861895788e-10,8.568374219698284e-10,6.48865689616417e-10,5.802219675355162e-10,4.259207927863903e-10,3.7585111632660027e-10,3.6676338273875633e-10,3.964603609630501e-10,4.1509363568013656e-10,3.3290505310593536e-10,3.555922666342268e-10,5.448747704601661e-10,5.896633062012893e-10,4.4098757314962747e-10,4.5915625771288276e-10,6.349344701943722e-10,5.504501215875618e-10,3.140344570228319e-10,3.304967650713122e-10,5.738760494036962e-10,4.85911898546697e-10,4.2364331779199356e-10,4.792112957889908e-10,3.2110161961366383e-10,3.123488223430269e-10,4.200561107652251e-10,4.815747669973966e-10,5.41293561906087e-10,6.029634179746916e-10,5.62226793392984e-10,4.520795775454887e-10,4.5925559701541413e-10,3.6105742678704115e-10,2.441517067131883e-10,2.596447418038654e-10,3.1320516852857803e-10,3.741152975702857e-10,4.753505583176789e-10,1.3572652504781536e-08,0.0005710243106526332,0.0022753420291911587,0.0009900025355164418,0.0002950374051573191,0.0005140197906109264,0.001033483034672043,0.000723619893975573,0.0005067151555395776,0.00036292172178298374,0.0002981562287435968,0.00020862225839116718,8.509835463913416e-05,3.480913662791417e-05,2.708207499208504e-05,1.3065673064789752e-05,3.886220967106747e-06,2.6515503817110037e-06,1.3810199356689008e-06,5.507118811445286e-07,5.254017584986529e-07,6.074721740980431e-07,4.4720960232561914e-07,3.0172746386311355e-07,2.3510742641411388e-07,2.2202552892917546e-07,1.6952885446824652e-07,1.8897250739058062e-07,2.1399739126332483e-07,1.3279940333071518e-07,1.0029204421987409e-07,1.2059315237547125e-07,1.1353442840936335e-07
impulses_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,1832,167,6,8,194,56,19,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2424,30296,8176,277,1469,8461,3444,1310,556,284,97,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max_env_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
