,8/8/2022 0:01,8/8/2022 0:16,8/8/2022 0:31,8/8/2022 0:46,8/8/2022 1:01,8/8/2022 1:16,8/8/2022 1:31,8/8/2022 1:46,8/8/2022 2:01,8/8/2022 2:16,8/8/2022 2:31,8/8/2022 2:46,8/8/2022 3:01,8/8/2022 3:16,8/8/2022 3:31,8/8/2022 3:46,8/8/2022 4:01,8/8/2022 4:16,8/8/2022 4:31,8/8/2022 4:46,8/8/2022 5:01,8/8/2022 5:16,8/8/2022 5:31,8/8/2022 5:46,8/8/2022 6:01,8/8/2022 6:16,8/8/2022 6:31,8/8/2022 6:46,8/8/2022 7:01,8/8/2022 7:16,8/8/2022 7:31,8/8/2022 7:46,8/8/2022 8:01,8/8/2022 8:16,8/8/2022 8:31,8/8/2022 8:46,8/8/2022 9:01,8/8/2022 9:16,8/8/2022 9:31,8/8/2022 9:46,8/8/2022 10:01,8/8/2022 10:16,8/8/2022 10:31,8/8/2022 10:46,8/8/2022 11:01,8/8/2022 11:16,8/8/2022 11:31,8/8/2022 11:46,8/8/2022 12:01,8/8/2022 12:16,8/8/2022 12:31,8/8/2022 12:46,8/8/2022 13:01,8/8/2022 13:16,8/8/2022 13:31,8/8/2022 13:46,8/8/2022 14:01,8/8/2022 14:16,8/8/2022 14:31,8/8/2022 14:46,8/8/2022 15:01,8/8/2022 15:16,8/8/2022 15:31,8/8/2022 15:46,8/8/2022 16:01,8/8/2022 16:16,8/8/2022 16:31,8/8/2022 16:46,8/8/2022 17:01,8/8/2022 17:16,8/8/2022 17:31,8/8/2022 17:46,8/8/2022 18:01,8/8/2022 18:16,8/8/2022 18:31,8/8/2022 18:46,8/8/2022 19:01,8/8/2022 19:16,8/8/2022 19:31,8/8/2022 19:46,8/8/2022 20:01,8/8/2022 20:16,8/8/2022 20:31,8/8/2022 20:46,8/8/2022 21:01,8/8/2022 21:16,8/8/2022 21:31,8/8/2022 21:46,8/8/2022 22:01,8/8/2022 22:16,8/8/2022 22:31,8/8/2022 22:46,8/8/2022 23:01,8/8/2022 23:16,8/8/2022 23:31,8/8/2022 23:46,8/9/2022 0:01
max_amp,0.000620769,0.000612331,0.000590689,0.000527129,0.000600815,0.000536801,0.000662483,0.000618488,0.000589898,0.000621692,0.000589713,0.000623405,0.000545693,0.00054436,0.000639468,0.000526749,0.000507243,0.000535634,0.000563623,0.0005379,0.000582238,0.00061291,0.000529346,0.000562772,0.000504175,0.000555767,0.000533788,0.000474107,0.0006383,0.000569561,0.000526856,0.000534746,0.000557879,0.000592505,0.000544774,0.000631054,0.000561572,0.000613667,0.00050039,0.000566565,0.000543647,0.000494756,0.000599082,0.000546895,0.000541791,0.000526643,0.000547013,0.000531235,0.000476002,0.00055244,0.000539913,0.00051959,0.000632343,0.000589243,0.000507023,0.000568145,0.000538744,0.000604001,0.000685781,0.000645788,0.000546507,0.000504789,0.000477653,0.000444924,0.000429254,0.000435949,0.000478946,0.000436916,0.000403012,0.000405076,0.000421199,0.000457992,0.000466111,0.000392185,0.000415928,0.000428699,0.000451883,0.000455799,0.000557844,0.000445263,0.000451384,0.00045043,0.00045398,0.000421156,0.000456125,0.000508606,0.000432215,0.000515686,0.000515206,0.000461676,0.000513344,0.000675054,0.000470095,0.000550061,0.000483015,0.00056731,0.00053248
mean_amp,0.000432909,0.000415113,0.000436167,0.000413089,0.000425948,0.00042645,0.000432378,0.000438896,0.00044097,0.000430253,0.00043242,0.000430606,0.000417462,0.000423321,0.000419561,0.000419228,0.00040263,0.000407357,0.000416156,0.000399693,0.000408124,0.000411055,0.000399002,0.00040838,0.000402308,0.000392502,0.000384901,0.000379613,0.000395441,0.000385699,0.000387111,0.000387909,0.000390411,0.000384586,0.000375093,0.000386648,0.000385421,0.00039743,0.000381746,0.000383945,0.000395786,0.00038978,0.000385159,0.000397025,0.000387876,0.000394042,0.000385005,0.000385961,0.000391712,0.000379757,0.000367247,0.000398231,0.000414541,0.000426573,0.00041432,0.000419112,0.000388685,0.000456407,0.000529288,0.000506437,0.000380505,0.000402724,0.000357671,0.000352653,0.000294461,0.000347293,0.000332946,0.000334044,0.000308263,0.000291321,0.000278309,0.00031323,0.000307784,0.000311515,0.000291918,0.000306337,0.000291367,0.000299806,0.000300689,0.000295982,0.000303165,0.000294774,0.000308446,0.000303139,0.00030525,0.000316002,0.000308244,0.000316223,0.000335964,0.000334235,0.000337994,0.000350258,0.000329278,0.000348786,0.000346999,0.000352432,0.000358256
median_amp,0.000428561,0.000402603,0.000420149,0.000414417,0.000412546,0.000425419,0.000429213,0.000416568,0.000430114,0.000423107,0.00042573,0.000424923,0.000418788,0.000418812,0.000414808,0.000415542,0.000401121,0.00039741,0.000410657,0.000392916,0.00039848,0.000409837,0.000393417,0.000407491,0.000396704,0.000386165,0.000378585,0.000377552,0.000386644,0.000385367,0.000380081,0.000384679,0.000387046,0.000383744,0.000359996,0.000370991,0.000382373,0.000388421,0.000379978,0.00037495,0.000394482,0.000383761,0.000379914,0.000385799,0.000376868,0.000387894,0.000377522,0.000381766,0.000388348,0.000366031,0.000358408,0.00040081,0.000410924,0.000420457,0.000408728,0.000411584,0.000382981,0.000457574,0.000520178,0.000497025,0.000368839,0.000393141,0.000360144,0.000352424,0.000289311,0.000344968,0.000322885,0.000330564,0.000304143,0.000284592,0.00027272,0.000313421,0.000301269,0.000311013,0.000290821,0.000297266,0.000288388,0.000292982,0.000293997,0.000287945,0.000301608,0.00028931,0.000307786,0.000297956,0.000309806,0.00031937,0.000307682,0.000300557,0.000331539,0.000329256,0.000340576,0.000348585,0.000321673,0.000345769,0.000338154,0.000343243,0.000355602
impulses_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
impulses_ch2,30,15,24,16,23,20,23,16,20,17,19,34,12,9,24,23,16,16,22,23,20,18,18,15,14,14,19,8,17,16,15,10,21,19,10,22,27,19,20,16,20,9,17,10,20,21,28,19,22,17,10,7,7,2,15,11,21,24,42,32,33,11,6,2,6,1,4,8,1,3,9,7,7,2,5,9,12,10,22,18,23,15,25,23,16,24,23,26,44,32,18,43,25,28,22,20,30
impulses_ch1,1016,991,971,959,921,1010,1054,1039,1093,1007,944,1008,834,981,922,928,829,841,953,854,890,855,756,833,845,805,733,716,758,738,731,797,764,768,699,688,742,832,737,786,768,682,670,715,730,785,720,770,791,815,635,444,622,697,696,831,806,1194,1808,1543,998,650,448,464,371,328,455,387,267,263,227,368,289,332,357,325,386,432,409,445,450,516,534,508,513,571,542,573,619,652,732,763,635,690,734,754,741
max_env_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
