,4/30/2023 0:00,4/30/2023 0:15,4/30/2023 0:30,4/30/2023 0:45,4/30/2023 1:00,4/30/2023 1:15,4/30/2023 1:30,4/30/2023 1:45,4/30/2023 2:00,4/30/2023 2:15,4/30/2023 2:30,4/30/2023 2:45,4/30/2023 3:00,4/30/2023 3:15,4/30/2023 3:30,4/30/2023 3:45,4/30/2023 4:00,4/30/2023 4:15,4/30/2023 4:30,4/30/2023 4:45,4/30/2023 5:00,4/30/2023 5:15,4/30/2023 5:30,4/30/2023 5:45,4/30/2023 6:00,4/30/2023 6:15,4/30/2023 6:30,4/30/2023 6:45,4/30/2023 7:00,4/30/2023 7:15,4/30/2023 7:30,4/30/2023 7:45,4/30/2023 8:00,4/30/2023 8:15,4/30/2023 8:30,4/30/2023 8:45,4/30/2023 9:00,4/30/2023 9:15,4/30/2023 9:30,4/30/2023 9:45,4/30/2023 10:00,4/30/2023 10:15,4/30/2023 10:30,4/30/2023 10:45,4/30/2023 11:00,4/30/2023 11:15,4/30/2023 11:30,4/30/2023 11:45,4/30/2023 12:00,4/30/2023 12:15,4/30/2023 12:30,4/30/2023 12:45,4/30/2023 13:00,4/30/2023 13:15,4/30/2023 13:30,4/30/2023 13:45,4/30/2023 14:00,4/30/2023 14:15,4/30/2023 14:30,4/30/2023 14:45,4/30/2023 15:00,4/30/2023 15:15,4/30/2023 15:30,4/30/2023 15:45,4/30/2023 16:00,4/30/2023 16:15,4/30/2023 16:30,4/30/2023 16:45,4/30/2023 17:00,4/30/2023 17:15,4/30/2023 17:30,4/30/2023 17:45,4/30/2023 18:00,4/30/2023 18:15,4/30/2023 18:30,4/30/2023 18:45,4/30/2023 19:00,4/30/2023 19:15,4/30/2023 19:30,4/30/2023 19:45,4/30/2023 20:00,4/30/2023 20:15,4/30/2023 20:30,4/30/2023 20:45,4/30/2023 21:00,4/30/2023 21:15,4/30/2023 21:30,4/30/2023 21:45,4/30/2023 22:00,4/30/2023 22:15,4/30/2023 22:30,4/30/2023 22:45,4/30/2023 23:00,4/30/2023 23:15,4/30/2023 23:30,4/30/2023 23:45,5/1/2023 0:00,5/1/2023 0:15,5/1/2023 0:30,5/1/2023 0:45,5/1/2023 1:00,5/1/2023 1:15,5/1/2023 1:30,5/1/2023 1:45,5/1/2023 2:00,5/1/2023 2:15,5/1/2023 2:30,5/1/2023 2:45,5/1/2023 3:00,5/1/2023 3:15,5/1/2023 3:30,5/1/2023 3:45,5/1/2023 4:00,5/1/2023 4:15,5/1/2023 4:30,5/1/2023 4:45,5/1/2023 5:00
max_amp,0.002908709,0.003025439,0.002990671,0.002994565,0.002959485,0.002919633,0.002864127,0.003069435,0.002804543,0.002681574,0.002726383,0.002707285,0.00283638,0.002837711,0.002728225,0.002889425,0.002892055,0.002794514,0.00298954,0.002822405,0.003052762,0.003047916,0.003114148,0.003188876,0.002946392,0.002927742,0.003212848,0.002554608,0.002319259,0.002489776,0.002321984,0.002468006,0.002388832,0.002417175,0.002237475,0.002246999,0.002321842,0.00278311,0.002300219,0.002558915,0.002294442,0.002569591,0.002525013,0.002418297,0.00246607,0.002612986,0.002667328,0.00254966,0.002682805,0.002594685,0.002760943,0.002884493,0.002915306,0.002833446,0.002861388,0.002538214,0.002852846,0.002856633,0.00278864,0.003109753,0.002306732,0.002262296,0.002411697,0.002438862,0.002623599,0.002634023,0.00254762,0.002771254,0.002669983,0.002568097,0.002451312,0.002407144,0.002226067,0.002414914,0.002692804,0.003480943,0.002969959,0.003126622,0.002918938,0.002487568,0.002446799,0.002637232,0.002587776,0.002634027,0.002686791,0.002704167,0.002957841,0.002711512,0.002712596,0.002628085,0.00317817,0.002774254,0.002882756,0.002933042,0.003066531,0.003092265,0.003117693,0.003092313,0.002961597,0.002893768,0.00263584,0.002666952,0.00284267,0.002619128,0.002700853,0.002892004,0.002583704,0.002785661,0.002459758,0.002648195,0.002578488,0.002640329,0.002568322,0.002575753,0.002294191,0.002562543,0.002685818
mean_amp,0.002274874,0.002366704,0.002363925,0.002244553,0.002267867,0.002235733,0.002282648,0.002269887,0.002259837,0.002200449,0.002219524,0.002202945,0.002233686,0.002207513,0.002209878,0.002347803,0.002341171,0.002333049,0.002347902,0.002279795,0.00235973,0.002381855,0.002366411,0.002395747,0.002380277,0.002335543,0.002416238,0.002054251,0.001973044,0.002005585,0.001949541,0.001839995,0.001876893,0.001909363,0.001903124,0.001961549,0.001940726,0.001960048,0.001932633,0.001938859,0.001921329,0.002045793,0.001996826,0.002045665,0.001985703,0.002073193,0.002095582,0.002050255,0.002034825,0.002138782,0.002159315,0.002148648,0.002339752,0.002142025,0.002116835,0.002108081,0.002224602,0.002234878,0.002223296,0.002432707,0.001914352,0.001815597,0.001848216,0.001917203,0.001975371,0.00203064,0.002060873,0.002172504,0.002076902,0.002096515,0.002054822,0.001933929,0.001836668,0.001887208,0.002202629,0.002284809,0.002263824,0.002498156,0.002260305,0.00210604,0.002129256,0.002205146,0.002233603,0.002292734,0.002300822,0.002285806,0.002311705,0.002341077,0.00239941,0.002296963,0.002434005,0.002381941,0.002379398,0.002476192,0.002490373,0.002534884,0.002502593,0.00250713,0.002459924,0.002407182,0.002312393,0.002289184,0.002282099,0.002240058,0.002275398,0.002207578,0.002190437,0.002148166,0.002110097,0.002100766,0.002094834,0.002037176,0.002151012,0.002044675,0.001944801,0.002150105,0.002077689
median_amp,0.002270299,0.002346061,0.002352357,0.002274366,0.002236805,0.002201949,0.002312421,0.002281592,0.002297106,0.002174521,0.002190919,0.002215517,0.002200907,0.002235242,0.002212134,0.002308376,0.002366119,0.002328957,0.002367851,0.002287237,0.00236726,0.002344647,0.002343317,0.002396284,0.002386361,0.002339767,0.002330382,0.002070535,0.00196891,0.002027764,0.001910479,0.001827594,0.001896154,0.001897506,0.001893906,0.001978467,0.001950777,0.00194559,0.001957948,0.001920874,0.001890804,0.00202881,0.001966825,0.002067761,0.001968763,0.002080919,0.002075829,0.002040463,0.002042643,0.002127651,0.002151094,0.002148825,0.002321461,0.002142887,0.002093584,0.002100001,0.00220422,0.002234757,0.002200523,0.002441562,0.001926208,0.001837697,0.001837719,0.001899198,0.001955779,0.001978295,0.002073938,0.002161523,0.002046747,0.002088139,0.002066852,0.001913603,0.001792875,0.001872952,0.002206599,0.002294649,0.002278502,0.002486263,0.00224649,0.002097791,0.002124451,0.002203458,0.00223184,0.002280769,0.002290342,0.002243572,0.002303159,0.002331469,0.002383301,0.002271939,0.002399992,0.002355445,0.002371516,0.002463734,0.002453668,0.0025142,0.002472734,0.002514127,0.002450633,0.00241261,0.002325932,0.002287996,0.002250792,0.002233239,0.002271729,0.002183055,0.002203216,0.002111428,0.002118097,0.00209764,0.002055898,0.002000565,0.002166229,0.002042039,0.001940914,0.002148042,0.002019608
impulses_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,2,1,0,1,1,0,0,2,0,1,0,0,1,0,1,1,0,1,2,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0
impulses_ch2,278,354,353,292,279,255,308,309,288,265,245,233,256,273,252,339,329,317,372,324,328,336,348,370,359,359,391,248,215,186,182,125,139,141,129,173,137,164,136,152,151,210,174,206,185,225,250,214,171,242,274,251,332,260,231,234,287,285,285,433,89,82,100,121,124,142,142,244,163,172,166,110,97,91,178,262,289,429,224,206,219,297,304,341,315,314,326,358,374,296,417,298,304,388,443,443,425,405,404,341,304,296,283,234,276,247,263,238,216,201,178,155,218,160,140,202,172
impulses_ch1,12362,11596,11758,12164,12181,12453,11894,12484,11729,12447,11553,11692,11541,12182,12143,12691,13004,12301,12549,12967,11964,12325,12269,12531,12681,12611,12527,11325,10745,11103,10890,10666,10516,11125,10795,11072,10937,11097,11054,10916,10687,11064,11348,11314,11378,11346,11394,11382,11364,11576,11845,11667,11678,11900,11595,11833,11862,11871,12181,12025,11374,11127,11216,11557,11684,12382,12387,12596,12334,12023,12430,11654,11423,11671,11385,11996,12422,11765,12379,12762,13333,13457,13799,13844,13400,13433,13452,13379,13414,13417,14034,12190,12102,12766,12615,12595,11964,12067,12164,11573,11934,11779,11876,11501,11481,11454,12117,11357,10614,10388,10626,10018,10879,10411,10426,10603,9970
max_env_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
