,07/29/23 00:00:00,07/29/23 00:15:00,07/29/23 00:30:00,07/29/23 00:45:00,07/29/23 01:00:00,07/29/23 01:15:00,07/29/23 01:30:00,07/29/23 01:45:00,07/29/23 02:00:00,07/29/23 02:15:00,07/29/23 02:30:00,07/29/23 02:45:00,07/29/23 03:00:00,07/29/23 03:15:00,07/29/23 03:30:00,07/29/23 03:45:00,07/29/23 04:00:00,07/29/23 04:15:00,07/29/23 04:30:00,07/29/23 04:45:00,07/29/23 05:00:00,07/29/23 05:15:00,07/29/23 05:30:00,07/29/23 05:45:00,07/29/23 06:00:00,07/29/23 06:15:00,07/29/23 06:30:00,07/29/23 06:45:00,07/29/23 07:00:00,07/29/23 07:15:00,07/29/23 07:30:00,07/29/23 07:45:00,07/29/23 08:00:00,07/29/23 08:15:00,07/29/23 08:30:00,07/29/23 08:45:00,07/29/23 09:00:00,07/29/23 09:15:00,07/29/23 09:30:00,07/29/23 09:45:00,07/29/23 10:00:00,07/29/23 10:15:00,07/29/23 10:30:00,07/29/23 10:45:00,07/29/23 11:00:00,07/29/23 11:15:00,07/29/23 11:30:00,07/29/23 11:45:00,07/29/23 12:00:00,07/29/23 12:15:00,07/29/23 12:30:00,07/29/23 12:45:00,07/29/23 13:00:00,07/29/23 13:15:00,07/29/23 13:30:00,07/29/23 13:45:00,07/29/23 14:00:00,07/29/23 14:15:00,07/29/23 14:30:00,07/29/23 14:45:00,07/29/23 15:00:00,07/29/23 15:15:00,07/29/23 15:30:00,07/29/23 15:45:00,07/29/23 16:00:00,07/29/23 16:15:00,07/29/23 16:30:00,07/29/23 16:32:00,07/29/23 16:45:00,07/29/23 17:00:00,07/29/23 17:15:00,07/29/23 17:30:00,07/29/23 17:45:00,07/29/23 18:00:00,07/29/23 18:15:00,07/29/23 18:30:00,07/29/23 18:45:00,07/29/23 19:00:00,07/29/23 19:15:00,07/29/23 19:30:00,07/29/23 19:45:00,07/29/23 20:00:00,07/29/23 20:15:00,07/29/23 20:30:00,07/29/23 20:45:00,07/29/23 21:00:00,07/29/23 21:15:00,07/29/23 21:30:00,07/29/23 21:45:00,07/29/23 22:00:00,07/29/23 22:15:00,07/29/23 22:30:00,07/29/23 22:45:00,07/29/23 23:00:00,07/29/23 23:15:00,07/29/23 23:30:00,07/29/23 23:45:00,07/30/23 00:00:00
max_amp,0.0014933371945209067,0.0016162597195146337,0.001904791428235655,0.001607938002121487,0.0017517095161349216,0.002132418681536958,0.001876507572836995,0.0017951295326479957,0.0015660752771939923,0.001621718883185326,0.0015780791290194364,0.0017622600007451015,0.0013693739816578367,0.001479790095458464,0.0017501452834964564,0.0015103031586820974,0.0018821257495662486,0.0018993180441226713,0.001706193557591173,0.0015664978081169326,0.0016135470201327795,0.0018441836764320227,0.0014521148314657023,0.0017838889729466728,0.002122993707436929,0.0018331351114787414,0.0016261480620793915,0.0015604074223251382,0.0017791027597330003,0.0021403351202211765,0.002038356428462843,0.002145270527409756,0.0017456005419920614,0.0018028875119292132,0.0017280541483854974,0.0019501659921907148,0.0017583691218347503,0.002387543436711204,0.0018527279501620705,0.0017426738303102025,0.0018196014784956941,0.002662538700448159,0.001977970816604805,0.0018861389126707713,0.001769893483037489,0.0018535209032558132,0.0019183110884227021,0.0022307593409962505,0.0023899470007219367,0.001712946115092047,0.0016781193972416134,0.0018898824211747072,0.0020359555129974807,0.002275921999063998,0.002154196054002242,0.0019086376260511076,0.0021305343384862676,0.0016983686667030767,0.002014086057764663,0.001673177314186189,0.0017948309108884223,0.002050742197001069,0.0024563005251582505,0.0029088606707495667,0.0028164428056856893,0.002296932128199645,0.002655625544823787,0.002899545581551759,0.002849426304861773,0.002692403115969614,0.0025772513169200167,0.0025575272177430584,0.002154158700320001,0.00231846252792247,0.0022027143116524098,0.002281199574655234,0.0020558112970009423,0.0021087229531896253,0.0018556624975355938,0.0017372487172309554,0.0019007308206598068,0.0020868045166766488,0.0026016053264166445,0.002914704039718086,0.002036689130774014,0.0019780214159541066,0.0019016488227333297,0.0022318188030144635,0.0015625120276806129,0.001707256738970774,0.0015857032983575376,0.0017598301205660563,0.0014583232656702858,0.0015449686355160377,0.0014647444497392862,0.0013836335493862745,0.0015212915906575306,0.0014296153565094474
mean_amp,0.0012060775249721689,0.0012758975413527628,0.001251302550123816,0.0012667038037612358,0.0012400840386999415,0.001286340906681022,0.0012774696011273506,0.0012645337777055347,0.0012292298854751959,0.001236396692678081,0.0011881363484955716,0.0012560573131181383,0.0011650934628893604,0.0011972457664082994,0.0011994738013724412,0.001189458553770346,0.0012166947753199022,0.001190987270049544,0.0012010658821929125,0.0012189673957425271,0.0012565507185080585,0.001283148311873003,0.0011340664592877888,0.0011510105945125423,0.0011801228425380762,0.0011562056594470248,0.001122378118313723,0.0011519438719682612,0.0012741945508608174,0.0013764910374376462,0.0013862682784465893,0.0013719402266746453,0.0013458249614619233,0.001329060888869871,0.0013895204368926937,0.0013132436067385905,0.001299336660780875,0.0013361280523110674,0.0013811390823843459,0.001357429767470677,0.001327106402750848,0.0014665676917290352,0.0013905545224552013,0.001444557593222434,0.0013979391050984434,0.0013763373581102438,0.001519336376975757,0.0014024665901674928,0.0014302740260193757,0.001354204088791689,0.0013220685516434412,0.0014927194375681434,0.0013462040463876124,0.0014056825625454415,0.0016038778772150797,0.0013918209445062052,0.0014194436087072737,0.0013070893174300254,0.0013513349792656497,0.0012381426237072911,0.001407913846154833,0.0015702375844761118,0.0017819486160100572,0.0020991949158304037,0.001961598852483955,0.0018889448172656198,0.002104196876357692,0.0021815645658222285,0.002202454179289367,0.0017751653287711598,0.0018114615307212529,0.001779920877906715,0.0016636168986188576,0.0016257434770644806,0.0015956741718729692,0.0014825874758443343,0.0014371761362317896,0.0014217507787082683,0.001292805612252038,0.0013330057410908978,0.001289933956996788,0.001478082402925033,0.001535116571799777,0.0014653287855146727,0.0013462788255804005,0.0013421023145278905,0.0013669287928577015,0.0012056541840865023,0.001179763999357496,0.0011533708434586796,0.0011414023050186962,0.0011393149691247173,0.0011124241356835255,0.0011269644760665187,0.001130312625603914,0.0011059222247446628,0.0010668262224073227,0.0011089144441046223
median_amp,0.001213187620890541,0.001266696507513254,0.0012217177038206634,0.0012765459905838454,0.0012121765181802987,0.0012557172305132762,0.001249042179070771,0.0012479015534363387,0.0012146482376096369,0.0011934942919162145,0.0011649407532393773,0.0012277516254357913,0.0011639125471110303,0.0011935281308145134,0.001171763611602932,0.00117461450754105,0.0011974421607587149,0.0011485531317051365,0.0011688470612159513,0.0011729835275838152,0.0012282399363346685,0.0012395583566608757,0.0011401100388907701,0.001135510416329579,0.0011317383737149442,0.0011095040355154169,0.0011139650607106186,0.0011401807270578226,0.0012772685597125413,0.0013565642112414933,0.0013386358265485862,0.0013573420646571805,0.0013419042020269504,0.0013099176547770358,0.0013750936762231252,0.0013089089148665017,0.001252119860830377,0.001306228702377247,0.0013421557206358947,0.001349207885352562,0.00131268601997194,0.0014527600218399081,0.0013804018938218259,0.0014437579667926559,0.001403112020029499,0.0013595004630792985,0.0015577225429647173,0.0013695400337727596,0.001403026846083273,0.0013550948955875024,0.0013275783593408629,0.0014812060183567598,0.001326421532747459,0.001387261240827386,0.0015711062337898727,0.0013660546514646524,0.0013775580386436656,0.0012920115869840662,0.0013260011819578943,0.0012333589104829648,0.0014018932823445605,0.0015603701329366874,0.0018008222053533943,0.002092792578632233,0.0019050732779027457,0.0018522910695702405,0.002070972592631807,0.0021608341456883597,0.0021507119328359713,0.0017742095531438707,0.0017720932453651609,0.0017470711018287618,0.0016337536743289915,0.0016110546494116237,0.0015941231353546192,0.0014345995232079166,0.0013958956536817453,0.001402886025707286,0.0012798854032358038,0.0013407958548177438,0.0012299621531850352,0.001464474709453956,0.0015742870378674322,0.0014068605335961163,0.0012972975702676462,0.001286142949590919,0.001364319983954478,0.001175728540754264,0.0011513220799886674,0.0011296575903401837,0.0011096201564593016,0.0011322350582867397,0.0010920999042921525,0.0011212656680441584,0.001115538003885282,0.0011132265361334737,0.0010480077226259436,0.0011093870745737494
impulses_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch3,0,2,0,1,0,0,1,2,1,3,0,1,0,0,0,0,0,0,2,0,0,0,0,4,3,1,0,2,2,1,0,4,0,0,1,0,2,1,1,0,3,2,0,1,0,1,4,0,1,0,0,1,0,5,17,0,5,1,2,0,0,0,0,1,2,0,3,2,2,1,5,6,5,7,5,3,1,0,0,1,4,2,4,3,1,0,3,0,0,2,0,0,0,1,0,0,0,0
impulses_ch2,66,114,84,91,83,121,101,115,93,83,87,139,86,70,96,71,96,97,93,85,116,136,74,90,116,97,128,104,97,125,136,138,78,117,140,123,127,95,183,109,104,182,167,141,134,139,323,159,156,157,123,192,148,143,289,157,168,90,119,89,109,127,296,404,347,330,436,491,488,307,376,341,264,276,301,231,168,194,125,160,109,384,401,326,148,245,214,116,100,93,96,73,75,84,86,95,62,70
impulses_ch1,6690,7469,7269,7593,7764,7333,8211,7453,7707,7317,7099,6760,6172,6881,6805,7311,7415,7021,7102,7554,7358,8816,7131,5930,7121,5644,5171,5567,7119,7645,7815,7494,7605,8819,10251,8606,9163,9757,8863,8482,8974,9894,9553,8829,8315,8730,9737,7936,8011,7672,7483,15291,9597,10797,11176,9151,9554,7822,8341,7267,9012,9770,12900,13263,11676,10867,10781,10786,11249,8851,8951,8152,7976,7556,7287,6908,6682,6542,6357,6114,5953,6552,7177,6488,6421,6602,6664,5355,5432,5436,5081,5423,5457,5355,5453,5238,4941,5203
max_env_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
