,05/03/23 06:00:00,05/03/23 06:15:00,05/03/23 06:30:00,05/03/23 06:45:00,05/03/23 07:00:00,05/03/23 07:15:00,05/03/23 07:30:00,05/03/23 07:45:00,05/03/23 08:00:00,05/03/23 08:15:00,05/03/23 08:30:00,05/03/23 08:45:00,05/03/23 09:00:00,05/03/23 09:15:00,05/03/23 09:30:00,05/03/23 09:45:00,05/03/23 10:00:00,05/03/23 10:15:00,05/03/23 10:30:00,05/03/23 10:45:00,05/03/23 11:00:00,05/03/23 11:15:00,05/03/23 11:30:00,05/03/23 11:45:00,05/03/23 12:00:00,05/03/23 12:15:00,05/03/23 12:30:00,05/03/23 12:45:00,05/03/23 13:00:00,05/03/23 13:15:00,05/03/23 13:30:00,05/03/23 13:45:00,05/03/23 14:00:00,05/03/23 14:15:00,05/03/23 14:30:00,05/03/23 14:45:00,05/03/23 15:00:00,05/03/23 15:15:00,05/03/23 15:30:00,05/03/23 15:45:00,05/03/23 16:00:00,05/03/23 16:15:00,05/03/23 16:30:00,05/03/23 16:45:00,05/03/23 17:00:00,05/03/23 17:15:00,05/03/23 17:30:00,05/03/23 17:45:00,05/03/23 18:00:00,05/03/23 18:15:00,05/03/23 18:30:00,05/03/23 18:45:00,05/03/23 19:00:00,05/03/23 19:15:00,05/03/23 19:30:00,05/03/23 19:45:00,05/03/23 20:00:00,05/03/23 20:15:00,05/03/23 20:30:00,05/03/23 20:45:00,05/03/23 21:00:00,05/03/23 21:15:00,05/03/23 21:30:00,05/03/23 21:45:00,05/03/23 22:00:00,05/03/23 22:15:00,05/03/23 22:30:00,05/03/23 22:45:00,05/03/23 23:00:00,05/03/23 23:15:00,05/03/23 23:30:00,05/03/23 23:45:00,05/04/23 00:00:00,05/04/23 00:15:00,05/04/23 00:30:00,05/04/23 00:45:00,05/04/23 01:00:00,05/04/23 01:15:00,05/04/23 01:30:00,05/04/23 01:45:00,05/04/23 02:00:00,05/04/23 02:15:00,05/04/23 02:30:00,05/04/23 02:45:00,05/04/23 03:00:00,05/04/23 03:15:00,05/04/23 03:30:00,05/04/23 03:45:00,05/04/23 04:00:00,05/04/23 04:15:00,05/04/23 04:30:00,05/04/23 04:45:00,05/04/23 05:00:00,05/04/23 05:15:00,05/04/23 05:30:00,05/04/23 05:45:00,05/04/23 06:00:00,05/04/23 06:15:00,05/04/23 06:30:00,05/04/23 06:45:00,05/04/23 07:00:00,05/04/23 07:15:00,05/04/23 07:30:00,05/04/23 07:45:00,05/04/23 08:00:00,05/04/23 08:15:00,05/04/23 08:30:00,05/04/23 08:45:00,05/04/23 09:00:00,05/04/23 09:15:00,05/04/23 09:30:00,05/04/23 09:45:00,05/04/23 10:00:00,05/04/23 10:15:00,05/04/23 10:30:00,05/04/23 10:45:00,05/04/23 11:00:00,05/04/23 11:15:00,05/04/23 11:30:00,05/04/23 11:45:00,05/04/23 12:00:00
max_amp,0.0018915524308639377,0.0022815645045023863,0.0019559279545467274,0.001890492785827665,0.0020484743202864434,0.002001242203841451,0.0019080416462716092,0.002075371046664369,0.001937978977933381,0.001934237089616559,0.001996864088044314,0.0019948195611972494,0.0020872920082420166,0.0018850033927948408,0.002007838897630866,0.0018923665811457658,0.0021788182488577655,0.0020400248709312348,0.0019424474905263712,0.0019794209824506217,0.0019738123387390916,0.001904298680999744,0.0017745548623169678,0.001963822521571345,0.002094017213631265,0.0019294322469791073,0.001980736460680386,0.0020314287492512375,0.0019651827528299123,0.002162457377566404,0.002065428961638914,0.0021055992529406503,0.0021048365401307675,0.002224588248517655,0.0022088792430534536,0.0023016366458889033,0.0022833358892576663,0.002253952707537872,0.0024684534615400603,0.0023199505764479908,0.002340637182294937,0.002384739415379782,0.005433980817475059,0.006333462142732944,0.006107162373046231,0.007196565806219842,0.0060950348754272715,0.005727554396505052,0.006490119416565289,0.005939358222726213,0.00639136751538039,0.005702411737879102,0.006008248143500212,0.006587765992119935,0.005908443423895089,0.005813353776013262,0.005985182147753491,0.005880319884365508,0.0056095238575392965,0.005565463398464751,0.006370588475740007,0.00580433540154492,0.005315689334543982,0.006332800884826393,0.0057067516395421704,0.005690969167379454,0.005752558687314929,0.0055835686796459096,0.005790291973005057,0.005823330343525938,0.0061224441058345775,0.006185932320863556,0.005540394079304418,0.0056213401045079915,0.005315947454941785,0.006334194977169636,0.005382080355702057,0.005222385611282881,0.006145700493135458,0.006268048480019992,0.005712882229092375,0.005440825044389415,0.005295198043300344,0.005852519776823371,0.006135703965284218,0.005449323968656292,0.005666358299446188,0.0055336966265768965,0.005084367580897137,0.005439098102093381,0.006627933243953704,0.00590472650429932,0.00665705645634277,0.005110038017342589,0.005067189421237299,0.005591667723703532,0.005325596942503214,0.006032303044998402,0.005108892120445063,0.006336684201184162,0.006303663154486827,0.0053948219722426685,0.005657388575423575,0.005642544528483416,0.005172404350175936,0.006781792644798721,0.005638278826303987,0.0057502902128676635,0.006089761589893243,0.006474517103082941,0.0071778592279847795,0.006667155041662168,0.00815011246322682,0.006829617964009286,0.005983200777671743,0.007216221276063071,0.006706634576737214,0.00707686461633396,0.006413316955508197,0.006337764061878148,0.007600690387636274
mean_amp,0.0016238718063053478,0.0016557535976396663,0.0016711824506839286,0.0016590596055625106,0.0016547001215864126,0.0016664321521441335,0.0016371832095368006,0.001618600455909453,0.0016404346498649165,0.00159257862085154,0.001595632143621185,0.0016313806207564627,0.0015995627414891202,0.001645943086188797,0.0016093122826531308,0.0016275101979875205,0.001592076249926228,0.0015738467547978716,0.0015807379297645015,0.001583138647659487,0.0015997377419262502,0.0016044026616047525,0.0015289214426810166,0.0015889447322350529,0.0016223155532844769,0.001620227481557883,0.0016785058208639843,0.0016603545309458573,0.0017103508834659337,0.0017172882770954546,0.0017345417804719128,0.001746828802717243,0.0017006920605634988,0.0018015586730162432,0.0018263943235734628,0.0018837487829030499,0.0019549707944704047,0.0019493817396733042,0.0019490993858696476,0.002004311011882743,0.0019943376674360644,0.0020311492348737705,0.0031607734169578823,0.005143342230527041,0.004777593457986199,0.005014542283050016,0.004792607036130924,0.004911120815937404,0.004910734805563791,0.004881365973478418,0.004904995337794943,0.004657679134211582,0.0048593911975437325,0.004950736615905783,0.00470827468318208,0.004698770145702284,0.00453998420367481,0.004551824447195851,0.004506786019975561,0.004639711094190032,0.004412945628710046,0.004689441179077805,0.004544349938478132,0.004690013444929587,0.0046728397072401005,0.004679729369612037,0.004492100151656301,0.004423794058408154,0.0044396623076778784,0.004511289908661632,0.004486845743027447,0.0044844274904227805,0.004448227220662956,0.004548529475959084,0.004418361195320773,0.004497195446423118,0.004396679984489023,0.00435151137518073,0.004339853844568771,0.00434129168312344,0.00431450872090763,0.004272923742560493,0.00424736670787742,0.0043137716495500085,0.004426906729746927,0.0042672696004451005,0.0043273552979736195,0.004261250419708211,0.0042553025116091004,0.0043803840751740096,0.004291297561286223,0.0043322439031112485,0.004242474010269851,0.004225677559331067,0.004228082913866958,0.004192958489859014,0.004197463917613829,0.004215811438926622,0.004124906763378683,0.004276828723476004,0.004360517193215186,0.004267664273244174,0.004322641662244514,0.004228442110802945,0.0042886041669413415,0.004313991087604339,0.004332621225093998,0.004339975618797894,0.004348556496236023,0.004402664930183755,0.004363311690114971,0.004434442395283616,0.004614822780055548,0.004432482317973131,0.004421326616955082,0.004499041837773192,0.004357714146775236,0.004666676282525659,0.0046812602261370444,0.004798920501126744,0.004646042823397075
median_amp,0.0016117753570708336,0.0016415958232049157,0.0016477223512263955,0.0016543778145630664,0.001643600567871001,0.0016403908669581685,0.0016239565360763235,0.0015991169243138436,0.0016249840235554817,0.0015770511521158155,0.0015786742333576565,0.0016292834077885196,0.001591286612085711,0.001637879195289218,0.0016046818790887004,0.0016203624541851031,0.001583754712381871,0.0015680077001939746,0.00156447139475137,0.0015298912563438505,0.0015631969514276652,0.0016056943878684023,0.0015312856371769085,0.0015909504971060647,0.0016172618611439795,0.0016112142069748892,0.0016563257053623178,0.001636986347229114,0.0017296136152597278,0.0016966607778570498,0.0017145814077387028,0.0017484201990227285,0.0016690694635117477,0.001798194974285656,0.0018098032474485476,0.0018856452649101824,0.0019306516279603341,0.001927403830959615,0.0019317670830854086,0.0019887192982375778,0.0019960861740301815,0.002033677324077445,0.0030317543895299554,0.004948241606889826,0.0047701476914686885,0.004945465819106968,0.004699104586395875,0.004924095245174162,0.004890844831193663,0.004848287142687941,0.0048531248379840245,0.004592929578662713,0.00482866071736947,0.004901840112410717,0.004778271414481914,0.004658903014990787,0.00452947932956441,0.004518508946071244,0.004530550414640816,0.00467845455176284,0.004332799031721152,0.004629849207202336,0.0045534861707534,0.004617198608889683,0.0046204165045136145,0.004636456656215393,0.004403950309325025,0.004377149920482947,0.004388848125080613,0.0044712742981371945,0.004446024151895021,0.004405954906084817,0.004403429268500864,0.004517781628139145,0.0043962373173649545,0.004481697383652501,0.004385581981934851,0.004316567854706759,0.004303791821843856,0.0042539532428054055,0.004190760964204093,0.0042662614867169935,0.004239117583087902,0.0042856287018623335,0.00431216378759702,0.004194905115862327,0.004262135913218917,0.0042314810524281595,0.004246242873132626,0.004349835602476133,0.004271503980054754,0.004349359293986136,0.004161991135615893,0.004168107300085369,0.0042575883756076,0.004088236170142942,0.004159920630045022,0.004123531807907392,0.004154167916044834,0.004120057484297326,0.004236717704326151,0.004208886416928527,0.004261282571939917,0.004154195037093028,0.004214334978679909,0.004222353344216093,0.004255496884134233,0.004340835578047159,0.004299021846828491,0.0042999930251883655,0.004302117840051529,0.004321804931785378,0.004512272262357323,0.004367060637456863,0.004340698412111764,0.004329099927369951,0.0042716271084354916,0.004536941872675265,0.004585445948413581,0.0047250116347923,0.004458640504877889
impulses_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
impulses_ch3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,90.0,56.0,40.0,60.0,33.0,37.0,44.0,42.0,49.0,36.0,38.0,33.0,25.0,35.0,33.0,30.0,22.0,47.0,27.0,37.0,25.0,34.0,28.0,34.0,32.0,27.0,37.0,34.0,25.0,17.0,34.0,36.0,29.0,26.0,30.0,26.0,24.0,45.0,25.0,29.0,22.0,19.0,30.0,36.0,30.0,25.0,19.0,19.0,16.0,24.0,25.0,19.0,30.0,19.0,29.0,23.0,18.0,40.0,41.0,29.0,34.0,25.0,25.0,26.0,21.0,39.0,29.0,38.0,32.0,36.0,55.0,44.0,32.0,53.0,27.0,41.0,43.0,52.0,45.0
impulses_ch2,103.0,115.0,109.0,117.0,141.0,93.0,97.0,124.0,106.0,110.0,116.0,122.0,127.0,130.0,104.0,90.0,115.0,106.0,92.0,86.0,115.0,97.0,82.0,83.0,83.0,91.0,120.0,132.0,118.0,116.0,100.0,89.0,85.0,109.0,112.0,99.0,180.0,122.0,132.0,126.0,118.0,144.0,1107.0,5445.0,4476.0,5058.0,4612.0,5008.0,5023.0,4851.0,4800.0,4214.0,4790.0,4903.0,4410.0,4536.0,4196.0,4052.0,4014.0,4162.0,3943.0,4452.0,4161.0,4346.0,4487.0,4450.0,4116.0,3994.0,4016.0,4090.0,4146.0,4143.0,3965.0,4175.0,3881.0,4178.0,3968.0,3861.0,3777.0,3801.0,3823.0,3746.0,3683.0,3899.0,4036.0,3668.0,3835.0,3739.0,3771.0,4039.0,3745.0,3830.0,3692.0,3725.0,3615.0,3683.0,3677.0,3626.0,3425.0,3614.0,3787.0,3765.0,3820.0,3608.0,3894.0,3772.0,3782.0,3896.0,3787.0,3950.0,3963.0,4071.0,4251.0,4005.0,4096.0,4201.0,4060.0,4505.0,4585.0,4879.0,4543.0
impulses_ch1,10620.0,10472.0,10982.0,10731.0,10628.0,11016.0,10707.0,10558.0,10550.0,10101.0,10220.0,10521.0,10224.0,10689.0,10411.0,10745.0,10201.0,10106.0,10075.0,10470.0,10154.0,10368.0,9815.0,10197.0,10703.0,10668.0,11011.0,10941.0,11297.0,11335.0,11830.0,12078.0,11692.0,12727.0,12834.0,13407.0,13700.0,14065.0,14308.0,14314.0,13599.0,13951.0,12037.0,10895.0,11064.0,10890.0,11180.0,11408.0,11561.0,11179.0,11154.0,11612.0,11476.0,11339.0,11590.0,11619.0,11969.0,11864.0,11689.0,11462.0,12073.0,11766.0,11739.0,11680.0,11821.0,11851.0,12140.0,12288.0,12454.0,12022.0,12118.0,12141.0,12311.0,12063.0,12047.0,12257.0,12330.0,12575.0,12487.0,12702.0,12750.0,12656.0,12854.0,12624.0,12392.0,12865.0,12502.0,12717.0,12754.0,12642.0,12582.0,12677.0,12757.0,12966.0,12885.0,12953.0,13027.0,13090.0,12950.0,12833.0,12482.0,12799.0,12788.0,12874.0,12695.0,12729.0,12718.0,12663.0,12818.0,12680.0,12721.0,12587.0,12448.0,12914.0,12612.0,12717.0,12837.0,12368.0,12327.0,12155.0,12414.0
max_env_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
