,8/28/2023 0:00,8/28/2023 0:15,8/28/2023 0:30,8/28/2023 0:45,8/28/2023 1:00,8/28/2023 1:15,8/28/2023 1:30,8/28/2023 1:45,8/28/2023 2:00,8/28/2023 2:15,8/28/2023 2:30,8/28/2023 2:45,8/28/2023 3:00,8/28/2023 3:15,8/28/2023 3:30,8/28/2023 3:45,8/28/2023 4:00,8/28/2023 4:15,8/28/2023 4:30,8/28/2023 4:45,8/28/2023 5:00,8/28/2023 5:15,8/28/2023 5:30,8/28/2023 5:45,8/28/2023 6:00,8/28/2023 6:15,8/28/2023 6:30,8/28/2023 6:45,8/28/2023 7:00,8/28/2023 7:15,8/28/2023 7:30,8/28/2023 7:45,8/28/2023 8:00,8/28/2023 8:15,8/28/2023 8:30,8/28/2023 8:45,8/28/2023 9:00,8/28/2023 9:15,8/28/2023 9:30,8/28/2023 9:45,8/28/2023 10:00,8/28/2023 10:15,8/28/2023 10:30,8/28/2023 10:45,8/28/2023 11:00,8/28/2023 11:15,8/28/2023 11:30,8/28/2023 11:45,8/28/2023 12:00,8/28/2023 12:15,8/28/2023 12:30,8/28/2023 12:45,8/28/2023 13:00,8/28/2023 13:15,8/28/2023 13:30,8/28/2023 13:45,8/28/2023 14:00,8/28/2023 14:15,8/28/2023 14:30,8/28/2023 14:45,8/28/2023 15:00,8/28/2023 15:15,8/28/2023 15:30,8/28/2023 15:45,8/28/2023 16:00,8/28/2023 16:15,8/28/2023 16:30,8/28/2023 16:45,8/28/2023 17:00,8/28/2023 17:15,8/28/2023 17:30,8/28/2023 17:45,8/28/2023 18:00,8/28/2023 18:15,8/28/2023 18:30,8/28/2023 18:45,8/28/2023 19:00,8/28/2023 19:15,8/28/2023 19:30,8/28/2023 19:45,8/28/2023 20:00,8/28/2023 20:15,8/28/2023 20:30,8/28/2023 20:45,8/28/2023 21:00,8/28/2023 21:15,8/28/2023 21:30,8/28/2023 21:45,8/28/2023 22:00,8/28/2023 22:15,8/28/2023 22:30,8/28/2023 22:45,8/28/2023 23:00,8/28/2023 23:15,8/28/2023 23:30,8/28/2023 23:45,8/29/2023 0:00
max_amp,0.006008482,0.005627588,0.00611582,0.008398802,0.006735,0.006749462,0.006207139,0.005793505,0.005691101,0.006247542,0.005640596,0.006766685,0.005685898,0.007276221,0.006337384,0.006806102,0.007949835,0.006230369,0.00624457,0.007171461,0.005944584,0.006882339,0.007066997,0.005548734,0.007167827,0.005729304,0.007411205,0.006386759,0.007608086,0.007644409,0.009580597,0.007889551,0.007092547,0.006804917,0.006469165,0.006519746,0.006127451,0.006119761,0.007058096,0.005677588,0.006792076,0.006823988,0.005383638,0.006650891,0.007220664,0.005387305,0.005463606,0.006665932,0.007465184,0.009302709,0.004640634,0.00611492,0.00517596,0.004584965,0.00430219,0.004521587,0.004051058,0.004148564,0.004476307,0.004174099,0.00428552,0.004405093,0.004162433,0.004700414,0.00439377,0.004747954,0.003698923,0.004123205,0.003999751,0.004895988,0.003452702,0.003533918,0.004093098,0.004394512,0.00445982,0.003879007,0.004969836,0.005150142,0.004518558,0.004499469,0.005293321,0.004489564,0.005053393,0.005400201,0.0046441,0.005016252,0.004771019,0.005911374,0.006833562,0.005841551,0.005977339,0.005288736,0.005071773,0.004869145,0.006334365,0.005663721,0.004658417
mean_amp,0.003624382,0.003763377,0.004163701,0.004077504,0.004004356,0.004172854,0.004090913,0.003855907,0.003756401,0.004010315,0.00404663,0.004022683,0.004085991,0.00410786,0.003948975,0.004203252,0.004317169,0.004136675,0.003927314,0.004117059,0.004112177,0.004016162,0.004480861,0.004013608,0.00408297,0.003828354,0.004287927,0.004085886,0.003944724,0.004148871,0.004155071,0.004503085,0.004457349,0.004229913,0.003837687,0.003946866,0.003768461,0.004050671,0.004187578,0.003818919,0.00414578,0.004199006,0.004097072,0.004271818,0.004439099,0.003915491,0.003983508,0.004297141,0.00445004,0.005782628,0.003237635,0.003440727,0.00322181,0.003196121,0.003241963,0.002897536,0.002926672,0.002783661,0.003239865,0.002974169,0.00299561,0.002928032,0.002888737,0.002847973,0.002862861,0.002761761,0.002572826,0.002756411,0.002668298,0.002806591,0.002372155,0.002477817,0.002697064,0.002709419,0.002708007,0.0028273,0.003213075,0.003290159,0.003240297,0.003200071,0.00326855,0.00316869,0.0031291,0.003205491,0.003102187,0.00313867,0.003269917,0.003236827,0.003398711,0.003345363,0.003300165,0.003170601,0.003135568,0.003257486,0.003158851,0.003303963,0.003264406
median_amp,0.003483658,0.003636962,0.004068937,0.003868846,0.003965832,0.004033946,0.003971158,0.003704306,0.003769444,0.003944179,0.004053772,0.003924948,0.003963906,0.003913461,0.003887409,0.004158057,0.004160004,0.00393054,0.003748123,0.004106378,0.004000315,0.003868547,0.004389909,0.003989063,0.003860838,0.003869859,0.004206619,0.003958761,0.003903712,0.004039871,0.004054249,0.004363101,0.00429644,0.003932089,0.003617718,0.003954658,0.003665097,0.004129277,0.004008056,0.003714422,0.004226065,0.004025779,0.004121363,0.004248669,0.00428931,0.00394588,0.00393996,0.004221385,0.004268885,0.005646424,0.003173669,0.003287,0.003158219,0.0030984,0.003176769,0.002798364,0.002899501,0.002723125,0.003139797,0.002951338,0.00296429,0.002860529,0.002872608,0.00286279,0.002795407,0.002572452,0.002510774,0.002649718,0.002613228,0.002700178,0.002372074,0.002411776,0.002648153,0.00264308,0.002623876,0.002850989,0.003227073,0.003215289,0.00314792,0.003128895,0.003203855,0.003116726,0.003073256,0.003212675,0.003059865,0.003045692,0.003205668,0.003212099,0.003307675,0.003304471,0.003140378,0.00302716,0.003132115,0.003171897,0.002997615,0.003176829,0.003273564
impulses_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch4,0,1,2,2,0,3,1,0,0,1,2,3,0,0,1,3,5,1,0,2,1,8,4,1,2,0,3,2,0,2,5,6,4,0,1,2,1,2,0,0,2,3,1,3,1,1,1,2,0,11,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,2,2,3,1
impulses_ch3,106,110,181,171,171,180,171,138,139,154,147,160,198,180,149,182,176,144,157,160,166,186,220,149,173,131,202,152,133,176,170,194,212,156,120,149,138,169,165,122,166,171,176,200,223,123,151,183,206,248,35,53,40,55,46,34,25,19,44,19,32,43,36,34,40,45,22,28,25,35,17,17,34,37,42,45,60,43,59,53,47,60,52,54,48,55,71,45,60,90,78,63,77,89,59,82,96
impulses_ch2,1814,2053,2291,2099,2185,2316,2357,2251,2062,2175,2250,2113,2256,2392,2251,2246,2278,2146,2021,2266,2208,2100,2600,2066,2270,2021,2449,2269,2122,2165,2187,2561,2471,2288,1956,2161,2066,2132,2169,2048,2248,2446,2205,2302,2416,2159,2279,2329,2629,4292,1466,1617,1464,1407,1421,1140,1195,1050,1486,1268,1266,1139,1093,1140,1079,1022,946,1096,1085,1163,765,838,932,1013,1011,1023,1216,1359,1298,1156,1295,1202,1258,1182,1256,1272,1359,1260,1407,1383,1364,1327,1192,1255,1163,1314,1289
impulses_ch1,7348,7813,7746,7742,7939,7704,7980,8081,7970,7591,8001,7553,7762,7900,7809,7954,7600,7682,7642,7456,7577,7676,7611,7504,7675,7721,7514,7577,7843,7649,7744,7900,7735,7768,7429,7425,7647,7616,7591,7673,7942,7761,7656,7375,7529,7748,7927,7811,8119,9131,10290,10043,9566,9574,9880,9319,9115,9257,9511,9508,9435,9126,9023,8616,8682,8318,8299,8481,7877,8147,6733,6853,6821,6928,6830,6991,6904,6833,7158,6862,6795,6697,6892,6666,6822,6530,6794,6765,6748,6629,6647,6562,6371,6471,6350,6458,6260
max_env_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
