,03/18/23 13:40:00,03/18/23 14:00:00,03/18/23 14:15:00,03/18/23 14:30:00,03/18/23 14:45:00,03/18/23 15:00:00,03/18/23 15:15:00,03/18/23 15:30:00,03/18/23 15:45:00,03/18/23 16:00:00,03/18/23 16:15:00,03/18/23 16:30:00,03/18/23 16:45:00,03/18/23 17:00:00,03/18/23 17:15:00,03/18/23 17:30:00,03/18/23 17:45:00,03/18/23 18:00:00,03/18/23 18:15:00,03/18/23 18:30:00,03/18/23 18:45:00,03/18/23 19:00:00,03/18/23 19:15:00,03/18/23 19:30:00,03/18/23 19:45:00,03/18/23 20:00:00,03/18/23 20:15:00,03/18/23 20:30:00,03/18/23 20:45:00,03/18/23 21:00:00,03/18/23 21:15:00,03/18/23 21:30:00,03/18/23 21:45:00,03/18/23 22:00:00,03/18/23 22:15:00,03/18/23 22:30:00,03/18/23 22:45:00,03/18/23 23:00:00,03/18/23 23:15:00,03/18/23 23:30:00,03/18/23 23:45:00,03/19/23 00:00:00,03/19/23 00:15:00,03/19/23 00:30:00,03/19/23 00:45:00,03/19/23 01:00:00,03/19/23 01:15:00,03/19/23 01:30:00,03/19/23 01:45:00,03/19/23 02:00:00,03/19/23 02:15:00,03/19/23 02:30:00,03/19/23 02:45:00,03/19/23 03:00:00,03/19/23 03:15:00,03/19/23 03:30:00,03/19/23 03:45:00,03/19/23 04:00:00,03/19/23 04:15:00,03/19/23 04:30:00,03/19/23 04:45:00,03/19/23 05:00:00,03/19/23 05:15:00,03/19/23 05:30:00,03/19/23 05:45:00,03/19/23 06:00:00,03/19/23 06:15:00,03/19/23 06:30:00,03/19/23 06:45:00,03/19/23 07:00:00,03/19/23 07:15:00,03/19/23 07:30:00,03/19/23 07:45:00,03/19/23 08:00:00,03/19/23 08:15:00,03/19/23 08:30:00,03/19/23 08:45:00,03/19/23 09:00:00,03/19/23 09:15:00,03/19/23 09:30:00,03/19/23 09:45:00,03/19/23 10:00:00,03/19/23 10:15:00,03/19/23 10:30:00,03/19/23 10:45:00,03/19/23 11:00:00,03/19/23 11:15:00,03/19/23 11:30:00,03/19/23 11:45:00,03/19/23 12:00:00,03/19/23 12:15:00,03/19/23 12:30:00,03/19/23 12:45:00,03/19/23 13:00:00,03/19/23 13:15:00,03/19/23 13:30:00,04/14/23 16:29:00,04/14/23 16:30:00,04/14/23 16:31:00,04/14/23 16:32:00,04/14/23 16:40:00
max_amp,0.00033926958011761064,0.0003713513666813429,0.00039006014486406103,0.00042841733818952126,0.00038153344297809115,0.00047407305746402886,0.0004200733733257811,0.0004610991984417369,0.0004444871807393789,0.0005044786282025257,0.0004621351021277739,0.0005112713438987945,0.0004378481396156896,0.0004229379314688225,0.00046194704158827567,0.0004756492803655294,0.0008824832142080377,0.0009348403357757668,0.0010144412043283375,0.0006765336294880988,0.000496110916948312,0.00043272362929660266,0.00045373906354464474,0.00047057100211351876,0.00048103402212236734,0.0004215120326725348,0.0004935854335671144,0.00040621179943347316,0.000418396334651274,0.00042361398994277374,0.0004390949701021202,0.0004336854907748346,0.0003894232408570283,0.00042631849552860954,0.00042655915073552987,0.0004448073451720558,0.000605825687976845,0.0004390345328216216,0.0005139238232339279,0.0004993588136436609,0.00047515958333768464,0.00046314746437473015,0.00044071841604260655,0.000525620632385067,0.0004357933903279182,0.0005001380282787652,0.0005399554266765381,0.000509456598127216,0.0005176161244793377,0.0004388257257190675,0.0004865203338841211,0.0005269886671899099,0.0005080862607533587,0.000411928684562589,0.00046980121247800876,0.0004496765221188442,0.0004587079311730839,0.0005625796440165061,0.0004902792058851527,0.0004295522580820981,0.00048054032081458784,0.0004564898103842915,0.0005579428087591078,0.0005065789798736677,0.00041205180286437457,0.00047120071647049373,0.0005249713549017125,0.0004580738446156442,0.0004505489690258272,0.00041108075987070084,0.0004667839055092972,0.00043262484342457123,0.00043400475941809556,0.00042360466372947205,0.00041287343207915367,0.00043556722144592875,0.00042189254714947546,0.00041076762576744235,0.0003729222212432965,0.00040191930741060255,0.0003618839915279714,0.0003712963129221374,0.00033643232218611894,0.0002927710862382752,0.0003225382504514516,0.000302712342580665,0.00033604612955630644,0.0003791538883633808,0.00034766551584237417,0.0003553975669592175,0.000350958721616505,0.00035786836141949,0.00027559971374470485,0.000293450759543323,0.002089257736821506,0.00030251572672096417,0.004478471201702234,0.004475113690103358,0.004534615025966201,0.004570094475973464,0.008015402988683239
mean_amp,0.00026719689631588705,0.0002968506942059192,0.0003172273974802096,0.00034191041995225245,0.0003193758813070356,0.00033462444035219834,0.0003235580530660888,0.0003422390364782998,0.0003534081839317193,0.00036766935139617707,0.00036783931319830015,0.00036228197457272097,0.0003406568101878788,0.0003308572102678737,0.00032176625405797195,0.0003632743031738801,0.00047770851775304153,0.00041243224548315633,0.0005774679623882197,0.00034343848414449603,0.00034739432498036955,0.00033122452552748413,0.0003610101574440965,0.00036535214250837136,0.0003811299529595184,0.0003393015167722705,0.0003328629158249364,0.0003259843131775119,0.00033828971933311166,0.00033192040628188285,0.00035699711871964914,0.00035061415620281404,0.0003214520189777183,0.00032256613650320115,0.0003436931335741422,0.00036182568711531156,0.00038171192358014435,0.00037671110560359125,0.0003951797794342719,0.0003846386462923494,0.0003521629307899557,0.0003709422050956345,0.0003478717541990697,0.00034442989095079555,0.0003426332418345688,0.00037765706951451545,0.00034397548042415884,0.00037074207221375204,0.00035569344431129487,0.0003632883908218203,0.0003729229093145224,0.0003762095615170675,0.0003687625136378593,0.0003345867795998767,0.00038963536461308093,0.0003676644617950317,0.00036735934321474996,0.0003835071787193811,0.0003734413711616576,0.0003660711276619862,0.0003599145699423984,0.0003645410447307686,0.0003871092090558753,0.00037608188257394617,0.0003442405129329325,0.000377436210836472,0.00036580707337038947,0.00037403366507760525,0.0003753929689999658,0.0003575255183486485,0.00039068236845858997,0.0003644474196275858,0.0003568626036921989,0.0003305382050693377,0.0003371650110888372,0.0003232707611393894,0.000334616307288544,0.0003142327179656883,0.00029490062687125896,0.0002816102894590757,0.00028303367980411174,0.0002864045635123902,0.0002479414329883321,0.00020652612678967675,0.0002458327177326522,0.000239961857670985,0.0002624225552473252,0.00026811801181902733,0.0002753143320744118,0.00028008100286660426,0.0002765188426413739,0.0002529717656718354,0.00022690050562598153,0.00023400889647028073,0.00026297230713998406,0.00022688938835098744,0.0035216794065394716,0.003600873159892029,0.0036487593459237026,0.003521951498911583,0.0035880170518525225
median_amp,0.00026334416650913704,0.00029583941489881067,0.00031810925859074345,0.0003371495395514589,0.0003165701864851466,0.00033058235879051905,0.00031783096769065044,0.0003356706514526203,0.000347292608803095,0.000363362415579065,0.00036215431328455287,0.00035412948984135445,0.00033474979085143346,0.00032403671811082686,0.00031641825500899683,0.0003630495339641025,0.00046205487430041396,0.00033478952429208256,0.0005769211606378138,0.00033203893608489514,0.0003395580209044334,0.0003299208546016159,0.0003595646412233507,0.00035858388040903115,0.00037468580045279826,0.0003353193255875327,0.0003228881925847766,0.00032071210877059845,0.0003375652716225291,0.00033403705407509653,0.00035256053559781125,0.0003413966446518664,0.0003214131219813893,0.00031970886708195147,0.00033929117823621255,0.0003528044179272753,0.00036535451175720966,0.0003759536078848162,0.00038746069889736897,0.0003781364612674455,0.00035030259685003937,0.00036886103599341816,0.00034266965185818937,0.00033412840227124664,0.0003434758296620722,0.0003669150144462609,0.000335083577570702,0.0003568619535998271,0.00035068327753679554,0.0003575601167921822,0.0003694738850847449,0.00036566137235327146,0.0003662633849323269,0.00032941780357192697,0.0003868021854954259,0.00036550430371702733,0.0003616378926725553,0.00037905587274051885,0.00037182725172292834,0.00036233417210911246,0.0003578729083312263,0.000359786040378797,0.0003804646233826959,0.0003704534099582501,0.000343315680405287,0.00037359443411192,0.0003594260794880194,0.0003683786803501465,0.0003754980194646314,0.00035527081301595597,0.0003856296305019027,0.00036190765386382557,0.00035201025921447593,0.0003255548177023773,0.0003348633284031103,0.0003174091253046054,0.00033268769738149155,0.00030797320572148055,0.0002949718262509673,0.0002742663969285774,0.0002769766633559035,0.00028199317047178493,0.0002436547409598043,0.00020469549115532227,0.00024208950914423734,0.00023754237324452658,0.0002600748998546426,0.0002623607308901261,0.0002722077150983203,0.00027604232570891123,0.0002756186274922744,0.0002470051484796134,0.00022354943487485737,0.00023092315447501162,0.0002253236438345463,0.00022169192737445998,0.0035579651105962897,0.0035264602395557575,0.0036250573980485304,0.003483682109703105,0.0034309691160340525
impulses_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
impulses_ch3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,99,85,108,83,165
impulses_ch2,1,2,1,2,2,13,6,1,10,3,7,5,4,3,2,9,42,16,57,10,2,5,4,6,6,5,5,4,1,3,1,1,2,1,4,6,4,4,7,2,3,3,1,5,1,3,7,5,5,3,6,6,5,1,7,1,2,2,3,0,0,4,5,4,0,4,5,3,2,0,0,0,0,5,4,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,68,1,5891,6484,6751,6088,6090
impulses_ch1,151,203,255,329,250,280,252,346,378,372,412,409,302,304,269,354,1048,1149,1849,294,341,288,368,358,485,329,252,199,292,323,297,303,228,229,283,358,331,330,460,412,350,429,309,313,293,382,295,349,306,390,361,385,294,267,462,354,352,394,400,315,348,329,420,350,255,321,311,322,324,309,440,304,318,209,240,234,183,192,151,136,141,174,83,46,84,74,77,99,116,154,125,95,54,66,288,67,41989,42016,41396,42213,41945
max_env_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
