,09/18/23 00:01:00
max_amp,0.017375400918663894
mean_amp,0.0002117115830131026
median_amp,0.00015423962858586568
impulses_ch6,0.0
impulses_ch5,4.0
impulses_ch4,14.0
impulses_ch3,49.0
impulses_ch2,235.0
impulses_ch1,1502.0
max_env_ch6,0.0
mean_env_ch6,0.0
median_env_ch6,0.0
max_env_ch5,0.06950160367465558
mean_env_ch5,0.06101389701553919
median_env_ch5,0.060097081309619
max_env_ch4,0.2780064146986223
mean_env_ch4,0.20002380495088648
median_env_ch4,0.227080174743924
max_env_ch3,1.1120256587944892
mean_env_ch3,0.38859756176327664
median_env_ch3,0.1376344856401179
max_env_ch2,4.448102635177957
mean_env_ch2,0.7841674727729392
median_env_ch2,0.24922850005152275
max_env_ch1,17.792410540711828
mean_env_ch1,0.42464531140178596
median_env_ch1,0.1844962742269185
