,09/18/23 00:01:00,09/18/23 00:23:00
max_amp,0.009251256108512282,0.00934746975711972
mean_amp,0.005470428327475591,0.003706418009220691
median_amp,0.005469265298349572,0.0037173294019711605
impulses_ch6,0.0,0.0
impulses_ch5,0.0,0.0
impulses_ch4,35.0,23.0
impulses_ch3,5241.0,2390.0
impulses_ch2,80155.0,40385.0
impulses_ch1,180661.0,169460.0
max_env_ch6,0.0,0.0
mean_env_ch6,0.0,0.0
median_env_ch6,0.0,0.0
max_env_ch5,0.0,0.0
mean_env_ch5,0.0,0.0
median_env_ch5,0.0,0.0
max_env_ch4,0.14159274410604136,0.14955951611391552
mean_env_ch4,0.11005371971494249,0.09405210826454019
median_env_ch4,0.10808245243438651,0.08849436494527255
max_env_ch3,0.592080390944786,0.5982380644556621
mean_env_ch3,0.363011487697858,0.2799291065847912
median_env_ch3,0.3597362423993023,0.27586251439493886
max_env_ch2,2.368321563779144,2.3929522578226483
mean_env_ch2,1.4022079726184418,0.9488430103604969
median_env_ch2,1.4009426700759728,0.9516363269046171
max_env_ch1,9.473286255116577,9.571809031290593
mean_env_ch1,5.601718607335005,3.7953720414419876
median_env_ch1,5.600527665509961,3.8065453076184683
