,09/18/23 00:01:00
max_amp,0.0173435937434836
mean_amp,0.0043895620035832895
median_amp,0.004297982458069172
impulses_ch6,0.0
impulses_ch5,3.0
impulses_ch4,39.0
impulses_ch3,2746.0
impulses_ch2,55609.0
impulses_ch1,184860.0
max_env_ch6,0.0
mean_env_ch6,0.0
median_env_ch6,0.0
max_env_ch5,0.0693743749739344
mean_env_ch5,0.04889964142804408
median_env_ch5,0.04889964142804408
max_env_ch4,0.2774974998957376
mean_env_ch4,0.10036042952172347
median_env_ch4,0.09112529646185695
max_env_ch3,1.1099899995829503
mean_env_ch3,0.3001110196255202
median_env_ch3,0.29546963191338843
max_env_ch2,4.439959998331801
mean_env_ch2,1.1237278729173221
median_env_ch2,1.100283509265708
max_env_ch1,17.759839993327205
mean_env_ch1,4.4949114916692885
median_env_ch1,4.401134037062832
