,03/18/23 13:40:00,03/18/23 14:00:00,03/18/23 14:15:00,03/18/23 14:30:00,03/18/23 14:45:00,03/18/23 15:00:00,03/18/23 15:15:00,03/18/23 15:30:00,03/18/23 15:45:00,03/18/23 16:00:00,03/18/23 16:15:00,03/18/23 16:30:00,03/18/23 16:45:00,03/18/23 17:00:00,03/18/23 17:15:00,03/18/23 17:30:00,03/18/23 17:45:00,03/18/23 18:00:00,03/18/23 18:15:00,03/18/23 18:30:00,03/18/23 18:45:00,03/18/23 19:00:00,03/18/23 19:15:00,03/18/23 19:30:00,03/18/23 19:45:00,03/18/23 20:00:00,03/18/23 20:15:00,03/18/23 20:30:00,03/18/23 20:45:00,03/18/23 21:00:00,03/18/23 21:15:00,03/18/23 21:30:00,03/18/23 21:45:00,03/18/23 22:00:00,03/18/23 22:15:00,03/18/23 22:30:00,03/18/23 22:45:00,03/18/23 23:00:00,03/18/23 23:15:00,03/18/23 23:30:00,03/18/23 23:45:00,03/19/23 00:00:00,03/19/23 00:15:00,03/19/23 00:30:00,03/19/23 00:45:00,03/19/23 01:00:00,03/19/23 01:15:00,03/19/23 01:30:00,03/19/23 01:45:00,03/19/23 02:00:00,03/19/23 02:15:00,03/19/23 02:30:00,03/19/23 02:45:00,03/19/23 03:00:00,03/19/23 03:15:00,03/19/23 03:30:00,03/19/23 03:45:00,03/19/23 04:00:00,03/19/23 04:15:00,03/19/23 04:30:00,03/19/23 04:45:00,03/19/23 05:00:00,03/19/23 05:15:00,03/19/23 05:30:00,03/19/23 05:45:00,03/19/23 06:00:00,03/19/23 06:15:00,03/19/23 06:30:00,03/19/23 06:45:00,03/19/23 07:00:00,03/19/23 07:15:00,03/19/23 07:30:00,03/19/23 07:45:00,03/19/23 08:00:00,03/19/23 08:15:00,03/19/23 08:30:00,03/19/23 08:45:00,03/19/23 09:00:00,03/19/23 09:15:00,03/19/23 09:30:00,03/19/23 09:45:00,03/19/23 10:00:00,03/19/23 10:15:00,03/19/23 10:30:00,03/19/23 10:45:00,03/19/23 11:00:00,03/19/23 11:15:00,03/19/23 11:30:00,03/19/23 11:45:00,03/19/23 12:00:00,03/19/23 12:15:00,03/19/23 12:30:00,03/19/23 12:45:00,03/19/23 13:00:00,03/19/23 13:15:00,03/19/23 13:30:00,04/14/23 16:29:00,04/14/23 16:30:00,04/14/23 16:31:00,04/14/23 16:32:00,04/14/23 16:40:00
max_amp,0.00024756534466658796,0.0002755341359567674,0.00027582293880694516,0.00028189902977818085,0.0002618137821677147,0.0003119405379609787,0.0002882604413274632,0.0002904004794935562,0.0002799382233892499,0.0003036481734207276,0.0002822807708664833,0.0003219989189349444,0.0002881045063911189,0.000278293574773587,0.0003169947598184338,0.0002862956468467641,0.0005161260236632572,0.000562685006927764,0.0005694031112563874,0.00041323940455631513,0.00029015368308012255,0.00026431569271834134,0.00025468251229039836,0.00025724393195455524,0.0002535950496804775,0.0002465240424318009,0.00028867663777125386,0.0002375756019299321,0.00024135229670668316,0.00025497534899188146,0.00025680753728144894,0.00025364376825553326,0.00024525892965030594,0.0002566032042364536,0.00024606102440149385,0.0002496691628603127,0.0003271521363191134,0.00024005536712811936,0.00027098873530396615,0.0002633086991734596,0.00026676804502088683,0.00025015681254385037,0.00024743179843939126,0.0002950983068498913,0.00024466674954318375,0.00026068380932672684,0.0003031462662726966,0.00027516946226418984,0.0002830222214936434,0.00023994119554952246,0.0002565390511525713,0.00027787774371499486,0.00026477426743075035,0.00023762142701660633,0.00023933363150047452,0.00023706377245574537,0.00024182501703290545,0.0002865983008023642,0.0002584689935723625,0.00022650015022275343,0.00025338582862686484,0.00024070414875207655,0.0002781393803530952,0.0002581186891715197,0.00022530174603175958,0.00024009229775224633,0.00026749021053385636,0.0002334037238300955,0.00022460260997772517,0.00021180328960431074,0.0002255375182669702,0.0002229035604321943,0.0002236145417641466,0.00023782365328666905,0.00023179883597524293,0.0002548055918944879,0.00023068246965797387,0.00024024010646372671,0.00023486658018044394,0.0002644632994732671,0.0002381200222499845,0.0002443133389936257,0.0002496250115618064,0.0002640426652064919,0.0002476552962486525,0.00023243232321034618,0.00023762804851150962,0.0002681108058034587,0.00023518759240309252,0.00024041814419431716,0.00023741536910471355,0.0002655300574977124,0.00022371837988106253,0.00023828828877590626,0.0017301213084483665,0.00024556748392078444,0.002071417447794301,0.0020225484864405175,0.0020680516850159086,0.0020842324050505605,0.003655496125214818
mean_amp,0.00019497383675909393,0.00022025635792303773,0.00022432077256282016,0.0002249773925191424,0.00021916036184119498,0.00022018321077821006,0.00022203022875954455,0.00021554229682685863,0.00022257663084175903,0.00022130199524111923,0.0002246831379070129,0.00022816534811986413,0.000224152516061989,0.00021770436967893,0.00022080067029217203,0.0002186565940486538,0.00027939092072070884,0.0002482450018778317,0.00032413120941420735,0.00020977865477230268,0.00020317582103552894,0.0002023181402224417,0.00020263402745290517,0.00019972463509912422,0.00020092688855806112,0.00019844268973748822,0.00019467703227181047,0.0001906540369603228,0.0001951427246168485,0.00019978452893274648,0.0002087920771508251,0.0002050589601812004,0.0002024506239937729,0.0001941541478357369,0.00019825968891393865,0.00020309178205814133,0.00020612838599481906,0.00020597815432979466,0.0002083757627191226,0.0002028174908322724,0.00019771424142575917,0.0002003545885565328,0.0001953050533754703,0.00019337269388631438,0.00019236400419743647,0.00019684382697446982,0.0001931175749495913,0.0002002464920915338,0.0001944861143633042,0.0001986388803456322,0.0001966398578777247,0.00019837288850045468,0.0001921697789258513,0.00019300668054703224,0.00019849426586429148,0.00019382805200231378,0.00019366719734693032,0.00019537234760252985,0.00019687356552160074,0.00019302695736446,0.00018978064397166504,0.00019222015444968573,0.00019297733360189244,0.0001916261163767498,0.0001882238788415887,0.0001923161912709691,0.00018639076238781166,0.00019058248204531107,0.00018713668524517768,0.0001842097424526072,0.00018876728775606578,0.00018777614984642066,0.000183868185467868,0.00018557350806580874,0.0001892939846148484,0.0001891124804145519,0.00018296155424869383,0.00018378104038488247,0.0001857285454792523,0.00018529984736342784,0.00018623643960986714,0.00018845448440535454,0.00018396681589227806,0.00018626056846581164,0.00018875830836017398,0.00018425047220276295,0.000185566665423041,0.00018959408937316996,0.00018624370828761421,0.00018946824962569453,0.00018705853152266606,0.0001876992065441699,0.00018418674251924864,0.00019002022548735839,0.00021776824569172092,0.000184177718059734,0.001628874640393035,0.0016274314048037918,0.0016640492897979195,0.0016062174385383773,0.0016363472240469195
median_amp,0.0001921624960470216,0.00021950601203699172,0.00022494436235221592,0.00022184472853495061,0.0002172350533632428,0.0002175235171385987,0.00021810021971165364,0.00021140552502707077,0.00021872503891721338,0.0002187096293374478,0.00022121063354475244,0.0002230309096221849,0.0002202656915300422,0.00021321647913046196,0.00021713079577903764,0.00021852130435090286,0.0002702357859541221,0.00020151146520870674,0.00032382429106639826,0.0002028155974287339,0.0001985927078413131,0.00020152183361732233,0.00020182266309947484,0.00019602467409999327,0.0001975296128954926,0.00019611367943093012,0.00018884325078005146,0.00018757055406203575,0.00019472482631202804,0.00020105854967443422,0.00020619731277651305,0.0001996680388466934,0.00020242612664590027,0.00019243434328651462,0.00019572041707138804,0.00019802816800074618,0.00019729521445677948,0.00020556396961563265,0.00020430554106681093,0.00019938893038084007,0.00019666979727310497,0.00019923050029466036,0.00019238444581695733,0.00018758914643864034,0.0001928370568614258,0.0001912448129490203,0.00018812540889743873,0.0001927495143536024,0.00019174665463001173,0.00019550677381797698,0.0001948212095272499,0.00019281089601815607,0.0001908674312283839,0.0001900249521408327,0.0001970509425412955,0.00019268924399883596,0.00019065092101623138,0.00019310469226959585,0.00019602262217720815,0.00019105648467093866,0.00018870408889932208,0.00018971287115407306,0.00018966494940718257,0.0001887582240421958,0.00018771819877238705,0.00019035867938984127,0.00018313943566134041,0.00018770108091552132,0.00018718905382336836,0.00018304803883329037,0.0001863259397019027,0.00018646757305055853,0.00018136808664692943,0.00018277569328418162,0.0001880017547777249,0.00018568344004007002,0.00018190702864230953,0.0001801201241069667,0.00018577338688114824,0.0001804675588579025,0.00018225091682770345,0.00018555178344700502,0.00018078618942668037,0.00018460956556835996,0.00018588415178697073,0.00018239271383779337,0.00018390656962012782,0.00018552294761167368,0.0001841421545409054,0.00018673617896059044,0.0001864495570230218,0.00018327211441386069,0.00018146650703801346,0.00018751453703410515,0.00018659126188932612,0.00017995867322642342,0.0016456577873879632,0.0015938001386937937,0.0016532398047611205,0.0015887643417899677,0.0015647241101850642
impulses_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,1.0,8.0,3.0,29.0
impulses_ch2,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,9.0,2.0,17.0,5.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,62.0,1.0,614.0,578.0,652.0,534.0,697.0
impulses_ch1,51.0,88.0,80.0,76.0,56.0,76.0,69.0,47.0,85.0,67.0,90.0,80.0,87.0,72.0,79.0,82.0,297.0,290.0,430.0,61.0,46.0,59.0,68.0,59.0,60.0,69.0,44.0,43.0,47.0,60.0,49.0,52.0,58.0,34.0,46.0,71.0,57.0,50.0,52.0,60.0,46.0,69.0,54.0,54.0,35.0,39.0,49.0,49.0,35.0,67.0,47.0,51.0,36.0,42.0,52.0,43.0,59.0,50.0,47.0,35.0,37.0,56.0,49.0,29.0,34.0,50.0,44.0,44.0,19.0,25.0,26.0,29.0,23.0,37.0,35.0,50.0,25.0,26.0,24.0,29.0,30.0,43.0,25.0,34.0,33.0,35.0,21.0,37.0,39.0,40.0,33.0,32.0,22.0,39.0,213.0,35.0,25403.0,26126.0,26361.0,25782.0,24851.0
max_env_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
