,07/23/21 00:01:00,07/23/21 00:16:00,07/23/21 00:31:00,07/23/21 00:46:00,07/23/21 01:01:00,07/23/21 01:16:00,07/23/21 01:31:00,07/23/21 01:46:00,07/23/21 02:01:00,07/23/21 02:16:00,07/23/21 02:31:00,07/23/21 02:46:00,07/23/21 03:01:00,07/23/21 03:16:00,07/23/21 03:31:00,07/23/21 03:46:00,07/23/21 04:01:00,07/23/21 04:16:00,07/23/21 04:31:00,07/23/21 04:46:00,07/23/21 05:01:00,07/23/21 05:16:00,07/23/21 05:31:00,07/23/21 05:46:00,07/23/21 06:01:00,07/23/21 06:16:00,07/23/21 06:31:00,07/23/21 06:46:00,07/23/21 07:01:00,07/23/21 07:16:00,07/23/21 07:31:00,07/23/21 07:46:00,07/23/21 08:01:00,07/23/21 08:16:00,07/23/21 08:31:00,07/23/21 08:46:00,07/23/21 09:01:00,07/23/21 09:16:00,07/23/21 09:31:00,07/23/21 09:46:00,07/23/21 10:01:00,07/23/21 10:16:00,07/23/21 10:31:00,07/23/21 10:46:00,07/23/21 11:01:00,07/23/21 11:16:00,07/23/21 11:31:00,07/23/21 11:46:00,07/23/21 12:01:00,07/23/21 12:16:00,07/23/21 12:31:00,07/23/21 12:46:00,07/23/21 13:01:00,07/23/21 13:16:00,07/23/21 13:31:00,07/23/21 13:46:00,07/23/21 14:01:00,07/23/21 14:16:00,07/23/21 14:31:00,07/23/21 14:46:00,07/23/21 15:01:00,07/23/21 15:16:00,07/23/21 15:31:00,07/23/21 15:46:00,07/23/21 16:01:00,07/23/21 16:16:00,07/23/21 16:31:00,07/23/21 16:46:00,07/23/21 17:01:00,07/23/21 17:16:00,07/23/21 17:31:00,07/23/21 17:46:00,07/23/21 18:01:00,07/23/21 18:16:00,07/23/21 18:31:00,07/23/21 18:46:00,07/23/21 19:01:00,07/23/21 19:16:00,07/23/21 19:31:00,07/23/21 19:46:00,07/23/21 20:01:00,07/23/21 20:16:00,07/23/21 20:31:00,07/23/21 20:46:00,07/23/21 21:01:00,07/23/21 21:16:00,07/23/21 21:31:00,07/23/21 21:46:00,07/23/21 22:01:00,07/23/21 22:16:00,07/23/21 22:31:00,07/23/21 22:46:00,07/23/21 23:01:00,07/23/21 23:16:00,07/23/21 23:31:00,07/23/21 23:46:00
max_amp,9.647418737703985e-05,9.586730991663058e-05,9.703607242364592e-05,9.82084540608333e-05,9.655018754069414e-05,9.798780140874058e-05,9.59249444006419e-05,9.658438262477158e-05,9.667052751759994e-05,9.712891581341062e-05,9.658348953854689e-05,9.737262631179057e-05,9.696718497575926e-05,9.719918315806118e-05,9.798793781433581e-05,9.794525726129511e-05,9.827737560514805e-05,9.643638140785775e-05,9.81010046114116e-05,9.746715349063641e-05,9.840029915749329e-05,9.843679300039658e-05,9.764064363520947e-05,9.728916008092547e-05,9.834749382279923e-05,0.00010016323215471048,9.884479346268572e-05,9.998955588284505e-05,9.794443400880235e-05,9.812526139761548e-05,9.822422678395023e-05,9.745706958806174e-05,9.951247971150945e-05,9.824307899933285e-05,9.786162096935302e-05,9.873222792159897e-05,9.852247566779345e-05,9.691177609468016e-05,9.731442710501392e-05,9.743099753692009e-05,9.648576300783585e-05,9.645286915021266e-05,9.458440871568455e-05,9.566669154788207e-05,9.393369903870802e-05,9.3214479552291e-05,9.235333618784937e-05,9.19501189419504e-05,9.216717797703094e-05,9.239537106026171e-05,8.829812222874264e-05,9.129432068207962e-05,9.056661088986438e-05,8.912190883044767e-05,9.159617162259582e-05,9.095657849895756e-05,9.295745681797579e-05,9.246930594518466e-05,9.211677535316928e-05,9.197531798657637e-05,9.369771783022626e-05,9.547240663506179e-05,9.327919840777449e-05,9.405065614168289e-05,9.374021805330441e-05,9.467185395038763e-05,9.414695092405153e-05,9.32748046113746e-05,9.422720119207274e-05,9.343931325591819e-05,9.447631225860643e-05,9.525191514025584e-05,9.626453893269448e-05,9.563930861537879e-05,9.552526204044614e-05,9.579527260440922e-05,9.425051605535418e-05,9.51884795458801e-05,9.54306510952444e-05,9.678955238743272e-05,9.636215964923256e-05,9.472643707432266e-05,9.481046650730483e-05,9.624572949780996e-05,9.624473289425896e-05,9.582100657641738e-05,9.70133243937285e-05,9.61465950064915e-05,9.673897007313775e-05,9.706724620324527e-05,9.926232231846527e-05,9.689576661251612e-05,9.966629682325318e-05,9.923399335833061e-05,9.827142627263237e-05,9.779517461993155e-05
mean_amp,9.324366691255804e-05,9.354041519343737e-05,9.391963484028892e-05,9.42338638619355e-05,9.318573584618234e-05,9.444452310447363e-05,9.35568838696456e-05,9.417954352000669e-05,9.40593351346288e-05,9.41684613147654e-05,9.395241258879703e-05,9.459089987965547e-05,9.414527121748911e-05,9.44211661925779e-05,9.495789508367717e-05,9.440844971136309e-05,9.485716227774174e-05,9.451991772509273e-05,9.555345894735668e-05,9.568802996185283e-05,9.58952102687995e-05,9.56960549793461e-05,9.54310846970474e-05,9.507035030676879e-05,9.498939907580603e-05,9.567409132742344e-05,9.587580811427935e-05,9.671956836775157e-05,9.510180530678687e-05,9.551196375599714e-05,9.597721555507571e-05,9.520444324424576e-05,9.646362292454578e-05,9.529106438762031e-05,9.4784123887392e-05,9.540860425116011e-05,9.496080522285946e-05,9.423104396583279e-05,9.437525762415778e-05,9.363743324579278e-05,9.368240934937982e-05,9.328013494420734e-05,9.158321481139279e-05,9.223905914649259e-05,9.148364579416064e-05,9.093372234481591e-05,8.9985180369376e-05,8.939029778616482e-05,8.951730897209954e-05,8.688345850671407e-05,8.574084119193332e-05,8.787560295565328e-05,8.717428266615783e-05,8.642166305486697e-05,8.822580688135878e-05,8.77890859181097e-05,8.908330039136681e-05,8.98133262165863e-05,9.009205823604419e-05,8.891193897907933e-05,9.05189896023658e-05,9.178091567158628e-05,9.059405352624205e-05,9.15214251446224e-05,9.065438185646282e-05,9.152972358730609e-05,9.116148572857134e-05,9.032892917050336e-05,9.143084997712579e-05,9.072331254688005e-05,9.16024375310407e-05,9.223118391273426e-05,9.306093642091087e-05,9.223978431105708e-05,9.265294986443784e-05,9.297344642430625e-05,9.223027446711465e-05,9.293770472625207e-05,9.30615677692162e-05,9.397862187863165e-05,9.321058453705722e-05,9.250092774496364e-05,9.264289549388927e-05,9.368320343611904e-05,9.412602431454938e-05,9.334447042386644e-05,9.433345905715651e-05,9.305861012239792e-05,9.343953151541179e-05,9.401876190288655e-05,9.519495370645361e-05,9.461337539119702e-05,9.546620671053824e-05,9.47451129102042e-05,9.544036462741249e-05,9.494819371140251e-05
median_amp,9.326028190221385e-05,9.355545791459442e-05,9.389560527235538e-05,9.425891957342605e-05,9.302884423238091e-05,9.439037939440982e-05,9.353096975373156e-05,9.415936989407489e-05,9.417490856770361e-05,9.417572735885966e-05,9.400937913341443e-05,9.474413448597467e-05,9.418448652758064e-05,9.456216307143203e-05,9.50039700182236e-05,9.4355867459867e-05,9.474579705369522e-05,9.449914923542632e-05,9.534163639112698e-05,9.587361801728277e-05,9.618876391366644e-05,9.57420582842764e-05,9.54437608489723e-05,9.501909799198014e-05,9.507129907016586e-05,9.557080279928113e-05,9.579592367224641e-05,9.670948673271537e-05,9.516210241347204e-05,9.554590941072765e-05,9.579002719902044e-05,9.520153851118413e-05,9.66144859872601e-05,9.510642775879084e-05,9.476772228362265e-05,9.542568670640602e-05,9.498834741309732e-05,9.417185925471438e-05,9.44947120801903e-05,9.364010538991474e-05,9.364440093189341e-05,9.310049501157349e-05,9.164080842086189e-05,9.202847886711372e-05,9.146502216377507e-05,9.087203632245734e-05,9.00362036546073e-05,8.947905357759793e-05,8.939905436879823e-05,8.685951317917102e-05,8.549768433403852e-05,8.784573726316778e-05,8.696823939347058e-05,8.662984551601754e-05,8.816346965171243e-05,8.776825142325399e-05,8.909224785315507e-05,8.99587181398821e-05,9.009956700819072e-05,8.878582209183026e-05,9.060037841966874e-05,9.160053487155945e-05,9.055834416168875e-05,9.161212486374738e-05,9.059386654025796e-05,9.142990566655051e-05,9.106368843991076e-05,9.025149341332714e-05,9.1351097723325e-05,9.06922084152219e-05,9.156556334049137e-05,9.22817817647384e-05,9.29282087652596e-05,9.212768819908342e-05,9.27087479470842e-05,9.30026114811724e-05,9.228041445978654e-05,9.285898968924418e-05,9.304282964710828e-05,9.411090238705034e-05,9.306291494340343e-05,9.254020133121215e-05,9.271254457112453e-05,9.357294409419412e-05,9.411164347991534e-05,9.337204212975198e-05,9.422130768280025e-05,9.30353885961668e-05,9.349643277991403e-05,9.396902703416726e-05,9.512352233349543e-05,9.466779774342573e-05,9.548018076750654e-05,9.47346093232053e-05,9.540327225704276e-05,9.506443447252771e-05
impulses_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_env_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
