,9/14/2023 0:00,9/14/2023 0:15,9/14/2023 0:30,9/14/2023 0:45,9/14/2023 1:00,9/14/2023 1:15,9/14/2023 1:30,9/14/2023 1:45,9/14/2023 2:00,9/14/2023 2:15,9/14/2023 2:30,9/14/2023 2:45,9/14/2023 3:00,9/14/2023 3:15,9/14/2023 3:30,9/14/2023 3:45,9/14/2023 4:00,9/14/2023 4:15,9/14/2023 4:30,9/14/2023 4:45,9/14/2023 5:00,9/14/2023 5:15,9/14/2023 5:30,9/14/2023 5:45,9/14/2023 6:00,9/14/2023 6:15,9/14/2023 6:30,9/14/2023 6:45,9/14/2023 7:00,9/14/2023 7:15,9/14/2023 7:30,9/14/2023 7:45,9/14/2023 8:00,9/14/2023 8:15,9/14/2023 8:30,9/14/2023 8:45,9/14/2023 9:00,9/14/2023 9:15,9/14/2023 9:30,9/14/2023 9:45,9/14/2023 10:00,9/14/2023 10:15,9/14/2023 10:30,9/14/2023 10:45,9/14/2023 11:00,9/14/2023 11:15,9/14/2023 11:30,9/14/2023 11:45,9/14/2023 12:00,9/14/2023 12:15,9/14/2023 12:30,9/14/2023 12:45,9/14/2023 13:00,9/14/2023 13:15,9/14/2023 13:30,9/14/2023 13:45,9/14/2023 14:00,9/14/2023 14:15,9/14/2023 14:30,9/14/2023 14:45,9/14/2023 15:00,9/14/2023 15:15,9/14/2023 15:30,9/14/2023 15:45,9/14/2023 16:00,9/14/2023 16:15,9/14/2023 16:30,9/14/2023 16:45,9/14/2023 17:00,9/14/2023 17:15,9/14/2023 17:30,9/14/2023 17:45,9/14/2023 18:00,9/14/2023 18:15,9/14/2023 18:30,9/14/2023 18:45,9/14/2023 19:00,9/14/2023 19:15,9/14/2023 19:30,9/14/2023 19:45,9/14/2023 20:00,9/14/2023 20:15,9/14/2023 20:30,9/14/2023 20:45,9/14/2023 21:00,9/14/2023 21:15,9/14/2023 21:30,9/14/2023 21:45,9/14/2023 22:00,9/14/2023 22:15,9/14/2023 22:30,9/14/2023 22:45,9/14/2023 23:00,9/14/2023 23:15,9/14/2023 23:30,9/14/2023 23:45,9/15/2023 0:00
max_amp,0.000565456,0.000909262,0.000656164,0.001034893,0.000772859,0.000975521,0.000964394,0.00079096,0.001074799,0.000845431,0.000878352,0.000943657,0.001282594,0.000869279,0.001068682,0.000968796,0.000929801,0.000901325,0.000880903,0.000912087,0.0014183,0.000794013,0.001504567,0.000808324,0.00094276,0.000977788,0.000675194,0.001014241,0.000660728,0.000737704,0.000806013,0.000848133,0.000767986,0.000860385,0.001276273,0.0007501,0.000552262,0.000790363,0.000458153,0.000704234,0.000744136,0.000459108,0.000599094,0.000739209,0.00062267,0.000718301,0.000732315,0.000657847,0.000700015,0.00096439,0.000774698,0.000720933,0.000809779,0.00080261,0.000862173,0.000722973,0.001220978,0.003353718,0.002925889,0.012065541,0.017657853,0.01416,0.008121331,0.019157951,0.022991799,0.020826641,0.023986303,0.020875477,0.024046458,0.019921239,0.021276492,0.026682651,0.02662819,0.021515924,0.020923428,0.019794192,0.017656232,0.016412069,0.018585204,0.018595058,0.017965209,0.016009444,0.014565579,0.017498217,0.01409203,0.018007789,0.016944176,0.013832651,0.014574589,0.01627874,0.021132062,0.02757667,0.018347113,0.018676692,0.018214713,0.010790983,0.010630739
mean_amp,0.000400756,0.000470654,0.000433842,0.000619512,0.000404782,0.000553969,0.000570319,0.000521191,0.000546895,0.000533384,0.000572471,0.000539286,0.000559464,0.000462072,0.000674711,0.000478369,0.000586586,0.000566784,0.000636932,0.000525623,0.000646818,0.000468222,0.000743667,0.000441693,0.000657279,0.00046083,0.000471105,0.000474356,0.000468823,0.000465701,0.0005691,0.000477305,0.000395892,0.000515334,0.000721734,0.000421325,0.000400427,0.000456754,0.000241359,0.000348826,0.000336841,0.000299516,0.000371093,0.000435954,0.000342456,0.000436414,0.000450305,0.000411874,0.000437196,0.000440959,0.000477435,0.000433524,0.000493873,0.000450075,0.000495863,0.000402402,0.000728329,0.001972883,0.001963376,0.005412428,0.010151161,0.008813439,0.004822796,0.011314458,0.013512652,0.016036415,0.015043792,0.014760952,0.014697579,0.014693815,0.014618168,0.016020523,0.014695403,0.015110272,0.014432825,0.014059294,0.012805864,0.011449581,0.012074617,0.010134456,0.012371365,0.011142386,0.009027219,0.009970333,0.010151944,0.010483308,0.010566156,0.009403078,0.00962191,0.010126824,0.010562268,0.016051831,0.010166544,0.011819786,0.009880302,0.006714781,0.006728161
median_amp,0.000387668,0.000454037,0.000418186,0.000588113,0.000396331,0.000552826,0.000551028,0.000518297,0.000541482,0.000515382,0.000574125,0.000509132,0.000528038,0.000444104,0.000671372,0.000450162,0.000551364,0.000541544,0.000620006,0.000512434,0.000611031,0.000447548,0.00071618,0.00042147,0.000648643,0.000416515,0.000468766,0.000460593,0.000459986,0.000448576,0.000567858,0.000454812,0.000382172,0.000512844,0.000691555,0.000396513,0.000394,0.000444991,0.000227074,0.000335924,0.000310518,0.000299119,0.000360392,0.000417873,0.000320328,0.000416794,0.00043936,0.000406392,0.000434594,0.000410448,0.000466485,0.0004152,0.000484682,0.000435755,0.000477339,0.000392815,0.000723041,0.001949054,0.001875877,0.004806823,0.009795882,0.00878267,0.004646765,0.011011609,0.013152742,0.015820453,0.0147779,0.014466605,0.014452584,0.014456631,0.014426027,0.015390262,0.013525186,0.014837096,0.013774174,0.01393747,0.012792409,0.011240738,0.011918088,0.009705994,0.012296514,0.010899218,0.008652596,0.00978958,0.010065498,0.00999695,0.010470248,0.009230106,0.009355922,0.009980701,0.010494457,0.015796239,0.009897652,0.011311876,0.009446072,0.006430848,0.006560892
impulses_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0
impulses_ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,53,45,9,69,93,161,163,137,115,118,103,189,121,114,88,84,45,34,53,34,65,63,35,50,55,66,80,40,67,59,67,239,63,95,74,19,24
impulses_ch3,0,0,0,1,0,0,0,0,1,0,1,1,2,0,0,0,0,0,1,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,7,39,72,461,1491,1144,307,1934,2355,3259,2774,2642,2786,2775,2699,2853,2614,2943,2621,2509,2284,1839,1959,1379,2145,1724,1096,1334,1559,1583,1755,1256,1364,1474,1614,3306,1550,2116,1506,724,734
impulses_ch2,17,39,24,53,24,71,57,53,59,60,56,57,62,46,74,53,59,44,73,43,70,52,99,38,93,48,54,25,27,41,48,47,23,34,105,32,30,25,4,24,10,10,10,33,11,20,31,24,36,24,37,35,33,27,49,21,103,928,961,4559,12169,9968,4717,13530,14008,14378,14661,14551,14580,14806,14576,14439,14545,14263,14789,14426,14691,14750,14484,12907,14450,13451,11156,11408,11664,11668,11428,10163,10816,10560,10984,13746,10395,11748,10032,6765,6697
impulses_ch1,585,770,772,1352,607,1183,1217,1047,1086,1092,1142,1050,1064,736,1544,781,1193,1144,1481,996,1380,773,1727,781,1471,736,746,747,849,749,1150,741,520,910,1693,651,552,735,173,427,435,299,556,592,401,597,739,642,772,674,878,698,929,737,881,629,2048,8998,8890,16254,12693,13080,14896,10957,8731,7258,8389,7718,7565,7678,7712,7173,7722,7169,7476,7500,8366,9551,9091,10823,9528,10736,11999,11822,11695,11389,11567,12100,11973,11694,11443,8874,11713,10896,12406,14178,14134
max_env_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
